contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Lokaal Liberaal,Streekbelangen,Maarssen 2000,ChristenUnie-SGP,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Het Vechtse Verbond,Stichtse Vecht Beweegt,LP (Libertarische Partij),PVV (Partij voor de Vrijheid)
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau De Shelter Scouting naast ambulance,1904::SB11,3608 BW,1330,734,3,1,0,0,0,688,50,0,0,0,0,0,738,93,63,166,32,68,42,52,102,48,7,16,45
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Wereldkidz Tweesprong  Fazantenkamp,1904::SB12,3607 CH,1752,1009,1,0,0,0,0,890,120,0,0,0,0,0,1010,180,70,218,40,109,47,97,143,11,4,27,63
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau WereldKidz Tweesprong Duivenkamp,1904::SB13,3607 BL,1759,811,7,1,0,0,0,734,85,0,0,0,0,0,819,71,40,174,42,103,37,123,106,13,4,26,72
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau RK Verrijzenisgemeenschap,1904::SB14,3607 JK,1768,955,3,2,0,0,0,874,85,0,1,0,0,0,959,130,74,257,40,112,47,88,114,6,2,23,62
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau De Werkspecht,1904::SB15,3607 KN,1314,606,3,2,0,0,0,557,54,0,0,0,0,0,611,75,28,123,27,63,35,73,79,13,2,25,63
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau De Valkenier,1904::SB16,3607 MJ,1650,787,2,4,0,0,0,713,81,1,0,1,0,0,794,117,60,182,30,75,41,76,103,12,3,26,62
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,"Stembureau KBS Franciscus, gymzaal nst Schuurt",1904::SB17,3607 NZ,1871,803,6,2,0,0,0,707,104,0,0,0,0,0,811,147,47,188,47,80,34,61,96,9,6,17,71
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Willem van Hoornhof,1904::SB18,3605 GP,1639,594,5,4,0,0,0,534,69,0,0,0,0,0,603,66,29,141,17,66,32,54,95,6,4,18,66
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Basisschool De Kameleon,1904::SB19,3605 ED,1504,529,3,4,0,0,0,474,62,0,0,0,0,0,536,53,27,112,22,79,32,48,56,9,2,36,53
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Zwembad Safari,1904::SB20,3605 JM,2172,1025,16,3,0,0,0,943,101,0,0,0,0,0,1044,109,64,200,34,185,33,126,118,19,5,33,99
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Basisschool Het Kompas,1904::SB21,3602 ZK,1215,885,2,1,0,0,0,797,91,0,0,0,0,0,888,186,84,185,21,59,26,78,187,8,6,11,34
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Gemeentelijke Sporthal,1904::SB22,3621 LN,1780,1050,1,3,0,0,0,966,102,0,0,14,0,14,1068,257,99,127,151,4,63,60,135,16,96,9,33
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Gemeentehuis Boom en Bosch,1904::SB23,3621 AB,1920,1108,5,6,0,0,0,959,160,0,0,0,0,0,1119,258,121,120,173,28,76,81,131,10,60,7,43
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Woonzorgcentrum De Aa / Driestroom,1904::SB24,3621 VV,1667,824,6,6,0,11,0,777,70,0,0,11,0,0,847,110,120,91,135,7,46,82,74,23,77,5,54
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau OBS de Regenboog,1904::SB25,3621 WS,889,658,4,0,0,0,0,604,58,0,0,0,0,0,662,148,68,62,85,4,50,51,102,15,36,13,24
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Wijkcentrum Over-Noord,1904::SB26,3621 HH,1892,1324,6,7,0,4,0,1231,102,0,4,0,0,0,1333,237,131,140,210,13,90,103,183,15,119,6,77
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Dorpshuis Ons Genoegen,1904::SB27,3626 AV,676,488,1,1,0,0,0,414,76,0,0,0,0,0,490,48,92,16,39,1,241,7,22,0,9,2,11
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Brandweerkazerne,1904::SB28,3628 AZ,1198,838,2,1,0,0,0,720,121,0,0,0,0,0,841,46,92,37,318,1,224,29,60,0,11,6,14
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Zorgcentrum Overdorp,1904::SB29,3628 BX,1428,931,3,2,0,0,0,850,86,0,0,0,0,0,936,35,80,27,420,4,214,26,66,4,7,7,41
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Wooncomplex 't Nieuwe Kampje,1904::SB31,3632 BK,1952,1171,4,2,0,7,0,1047,137,0,0,7,0,0,1184,399,193,63,88,9,67,88,122,92,26,2,22
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Dorpshuis Nigtevecht,1904::SB32,1393 NV,1199,779,0,0,0,0,0,702,77,0,0,0,0,0,779,95,87,41,34,2,35,44,67,345,6,2,21
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Dorpshuis Vreeland,1904::SB33,3633 CT,1437,970,3,5,0,0,0,890,88,0,0,0,0,0,978,175,186,151,92,4,40,44,104,136,9,3,26
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Montessorischool Loenersloot,1904::SB34,3634 AS,432,302,0,1,0,0,0,267,36,0,0,0,0,0,303,29,41,24,83,0,17,14,61,21,1,1,10
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Cultureel centrum 't Web,1904::SB35,3632 ET,1707,1084,6,4,0,0,0,1005,89,0,0,0,0,0,1094,166,188,71,118,8,64,99,90,191,24,7,58
