contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Elan,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),RijnGouweLokaal (RGL),Beter Alphen
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Het Spectrum (loc. Honingzwam),0484::SB21,,1237,866,2,1,0,0,0,793,76,0,0,0,0,0,869,78,208,130,57,84,55,47,128,22,27,30
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Het Spectrum (loc. Batenstein),0484::SB22,,1011,657,2,1,0,0,0,598,62,0,0,0,0,0,660,46,174,79,35,64,46,35,102,9,32,35
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Mare,0484::SB23,,1409,645,3,0,0,0,0,595,53,0,0,0,0,0,648,47,187,70,26,48,51,36,91,12,26,51
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Hobbitburcht (loc. Havixhorst),0484::SB24,,1643,892,3,2,0,0,0,820,77,0,0,0,0,0,897,70,228,107,62,92,62,48,124,13,43,43
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Wooncentrum Noorderbrink,0484::SB25,,1215,573,7,3,0,0,0,547,36,0,0,0,0,0,583,45,140,58,51,34,38,42,81,6,36,42
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Wooncentrum  Poortwachter,0484::SB26,,1274,809,2,5,0,1,0,754,63,0,0,1,0,0,817,66,207,136,29,84,50,36,112,7,24,58
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau ActiVite Zuidervaart,0484::SB27,,1698,1084,5,2,0,0,0,994,97,0,0,0,0,0,1091,148,279,185,51,87,43,92,118,23,22,36
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Wijkcentrum Kerk en Zanen,0484::SB28,,1600,1263,7,2,0,0,0,1146,126,0,0,0,0,0,1272,116,331,193,62,116,52,99,187,22,28,57
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Maranathakerk (1),0484::SB29,,1061,628,6,1,0,0,0,590,45,0,0,0,0,0,635,68,184,93,27,69,15,38,72,13,21,28
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau De Lichtkring,0484::SB30,,1423,878,2,3,0,0,0,805,78,0,0,0,0,0,883,107,211,180,35,69,31,56,108,8,31,42
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Wereldwijzer,0484::SB31,,1443,791,3,0,0,0,0,694,100,0,0,0,0,0,794,59,199,131,53,73,29,53,138,13,15,28
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Het Baken,0484::SB32,,1094,577,0,4,0,0,0,527,54,0,0,0,0,0,581,78,125,69,26,59,19,43,100,13,20,25
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Ridderspoor,0484::SB33,,910,598,6,1,0,0,0,556,49,0,0,0,0,0,605,60,147,75,31,60,36,19,113,5,27,25
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Speeltuinvereniging Kindervreugd,0484::SB34,,1197,515,5,0,0,0,0,487,33,0,0,0,0,0,520,24,120,47,19,26,49,35,56,12,37,90
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Ashram College,0484::SB35,,1767,762,3,4,0,0,0,688,81,0,0,0,0,0,769,67,185,104,48,72,55,39,118,14,24,36
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Westerhove,0484::SB36,,1714,758,3,1,0,0,0,710,52,0,0,0,0,0,762,102,178,78,39,32,49,66,79,60,35,40
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Woonboulevard daVinci,0484::SB37,,1225,837,1,1,0,0,0,785,54,0,0,0,0,0,839,85,257,125,32,63,34,64,88,14,33,42
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Meridiaan,0484::SB38,,1629,845,2,1,0,0,0,755,93,0,0,0,0,0,848,59,225,151,46,90,46,61,107,10,28,22
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Zwembad Aquarijn,0484::SB39,,1264,646,6,1,0,0,0,593,60,0,0,0,0,0,653,50,202,72,36,44,56,31,74,3,32,46
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Het Spinnewiel,0484::SB40,,1066,600,2,0,0,0,0,549,53,0,0,0,0,0,602,43,164,80,32,49,42,19,90,4,34,43
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Het Vianova,0484::SB41,,1375,489,0,0,0,0,0,437,52,0,0,0,0,0,489,37,134,120,19,55,13,24,65,5,10,7
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Hervormd Centrum De Regenboog,0484::SB42,,928,789,1,4,0,0,0,701,93,0,0,0,0,0,794,193,156,111,48,48,31,47,44,85,19,7
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Gebouw Protestantse Gemeente De Korenaar,0484::SB43,,1368,869,5,3,0,0,0,780,97,0,0,0,0,0,877,217,148,132,67,74,46,38,66,41,34,6
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Tweeklank,0484::SB44,,1306,817,8,5,0,2,0,769,63,0,0,2,0,0,832,120,117,140,128,56,66,23,95,5,36,31
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Sportzaal De Cirkel,0484::SB45,,1215,497,3,0,0,0,0,462,38,0,0,0,0,0,500,61,93,72,109,26,42,13,38,3,22,18
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool St. Michaëlschool,0484::SB46,,1365,797,5,3,0,0,0,728,77,0,0,0,0,0,805,155,180,97,74,64,72,48,63,15,23,6
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Het Anker,0484::SB47,,1244,742,4,2,0,0,0,679,69,0,0,0,0,0,748,97,111,94,135,44,86,16,84,12,33,30
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Rhijndael,0484::SB48,,1744,1109,5,4,0,2,0,1000,116,0,2,0,0,0,1116,189,155,148,165,73,127,41,112,21,46,32
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Rijnschans,0484::SB49,,1610,823,2,3,0,1,0,744,83,0,1,0,0,0,827,127,130,113,86,52,128,11,91,7,44,34
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Arnoldus van Os,0484::SB50,,1383,975,2,2,0,1,0,862,118,0,0,1,0,0,980,121,84,140,37,62,74,107,66,256,23,5
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau School met de Bijbel,0484::SB51,,1388,776,0,0,0,2,0,676,102,0,0,2,0,0,778,99,78,75,25,18,51,88,30,292,8,12
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Zalencentrum De Loods,0484::SB52,,777,641,2,0,0,0,0,587,56,0,0,0,0,0,643,181,125,100,28,26,27,26,68,30,16,14
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Floravita,0484::SB53,,1545,966,1,4,0,0,0,876,95,0,0,0,0,0,971,202,268,141,34,33,30,60,91,66,26,15
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Ons Jeugdhuis,0484::SB54,,1061,497,5,0,0,0,0,477,27,2,0,2,0,0,504,96,138,54,23,26,35,28,54,11,16,16
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau De Plataan,0484::SB55,,1457,915,2,6,0,0,0,841,82,0,0,0,0,0,923,140,187,109,72,58,55,57,125,68,27,17
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau De Stek,0484::SB56,,1501,903,5,2,0,0,0,857,53,0,0,0,0,0,910,163,228,105,67,40,59,52,103,56,16,14
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Akker,0484::SB57,,995,489,1,1,0,0,0,454,37,0,0,0,0,0,491,117,126,76,16,30,15,15,61,10,13,10
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Gymnastieklokaal de Biezen,0484::SB58,,1007,734,3,0,0,0,0,664,73,0,0,0,0,0,737,183,164,140,14,47,23,26,80,22,22,13
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Midgetgolfvereniging De Trekvogels,0484::SB59,,1428,801,8,1,0,0,0,724,86,0,0,0,0,0,810,204,180,99,27,33,38,41,76,61,27,15
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool Samen Op Weg,0484::SB60,,1151,402,2,2,0,0,0,371,35,0,0,0,0,0,406,43,124,34,21,32,27,23,47,6,21,24
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Vroonhoeve,0484::SB61,,1423,867,1,1,0,0,0,757,112,0,0,0,0,0,869,76,273,214,35,80,10,44,90,7,11,27
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Stembureau NS-station,0484::SB62,,1082,782,9,1,0,0,0,737,55,0,0,0,0,0,792,69,182,89,55,101,40,40,166,6,14,20
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Theater Castellum,0484::SB63,,831,340,3,2,0,0,0,317,28,0,0,0,0,0,345,40,120,48,20,27,10,5,51,2,9,8
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Maranathakerk (2),0484::SB64,,1087,697,0,0,0,0,0,615,82,0,0,0,0,0,697,97,192,86,33,64,30,49,69,13,32,32
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Driehof Wijdezorg,0484::SB65,,925,416,5,1,0,0,0,378,44,0,0,0,0,0,422,98,75,59,27,35,25,20,29,23,18,7
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Raadhuis Boskoop,0484::SB66,,628,373,2,6,0,0,0,346,34,0,1,0,1,0,380,71,115,45,20,19,20,8,41,22,6,6
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Immanuelschool,0484::SB67,,1144,467,1,1,0,0,0,425,44,0,0,0,0,0,469,108,134,78,14,20,18,24,46,12,8,5
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Eben-Haëzerschool,0484::SB68,,825,294,0,0,0,0,0,265,29,0,0,0,0,0,294,49,45,23,17,7,7,21,33,86,4,2
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Pleyn68,0484::SB69,,489,215,3,0,0,0,0,206,12,0,0,0,0,0,218,33,19,30,38,18,24,1,29,5,13,5
