contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie-SGP,De Lokale Partij,"PROgressief 21 (D66, Groen Links, PvdA)",VVD
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Maranathaschool,0267::SB12,3862 GV,1493,1025,3,0,0,0,0,929,99,0,0,0,0,0,1028,286,338,127,171,103
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau De Koningslinde,0267::SB13,3862 EV,1332,862,5,2,0,0,0,788,81,0,0,0,0,0,869,250,179,160,183,90
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Vrijgemaakt Gereformeerde Kerk,0267::SB14,3862 MC,1548,865,3,0,0,0,0,800,67,0,1,0,1,0,867,247,249,138,148,83
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau school De Appelgaard,0267::SB15,3862 PD,1073,643,2,4,0,0,0,555,94,0,0,0,0,0,649,269,182,48,55,89
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Johannes Calvijnschool,0267::SB16,3864 ER,1622,885,3,4,0,1,0,803,90,0,0,1,0,0,893,293,203,147,84,158
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau De Voorpost,0267::SB17,3864 EC,1318,645,0,1,0,0,0,587,59,0,0,0,0,0,646,222,150,131,64,78
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Woonzorgcentrum De Stoutenborgh,0267::SB21,3871 HK,1245,713,4,3,0,0,0,654,66,0,0,0,0,0,720,126,129,127,185,146
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau De Spreng,0267::SB22,3871 TD,1506,954,2,5,0,0,0,961,0,0,0,0,0,0,961,164,146,148,275,221
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Dorpshuis De Stuw,0267::SB23,3871 AM,1558,1327,5,5,0,0,0,1195,139,0,3,0,3,0,1334,207,212,260,358,290
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Willem Farelschool,0267::SB24,3871 JM,1644,834,9,0,0,0,0,764,79,0,0,0,0,0,843,122,251,125,187,149
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Bilderberg Hotel De Klepperman,0267::SB25,3871 AA,1408,965,3,2,0,0,0,873,97,0,0,0,0,0,970,161,176,143,215,270
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Museum Nijkerk,0267::SB30,3861 BX,0,216,1,0,0,0,0,189,28,0,0,0,0,0,217,64,36,21,59,36
