contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66),VVD,ProVeenendaal,CDA,Lokaal Veenendaal,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,JEZUS LEEFT,DENK,JouwVeenendaal
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School Het Baken I,0345::SB11,,1528,1145,0,1,0,0,0,1013,132,0,1,0,1,0,1145,292,87,105,169,125,124,88,42,25,59,0,10,19
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Overstag,0345::SB12,,1613,652,0,0,0,0,0,590,61,0,1,0,1,0,651,147,53,65,58,63,66,43,49,27,29,4,37,11
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School Het Baken II,0345::SB13,,1015,887,4,1,0,0,0,779,113,0,0,0,0,0,892,238,49,68,115,101,121,69,28,29,38,1,10,20
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Ichthus College,0345::SB14,,1774,893,0,2,0,0,0,893,2,0,0,0,0,0,895,227,95,49,140,102,100,59,39,20,34,2,7,19
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School De Schakel,0345::SB15,,1355,1098,0,2,0,0,0,973,127,0,0,0,0,0,1100,241,120,84,126,189,75,109,47,13,30,2,34,28
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Johannes Calvijnschool,0345::SB16,,1332,786,5,9,0,0,0,694,106,0,0,0,0,0,800,136,165,38,56,73,50,72,57,19,29,4,75,12
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Buurthuis 't Turfke,0345::SB17,,1615,737,2,4,0,0,0,664,79,0,0,0,0,0,743,147,132,42,66,110,40,77,23,27,25,4,33,11
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School Max,0345::SB18,,1551,1057,3,5,0,0,0,936,129,0,0,0,0,0,1065,253,187,49,105,97,109,107,31,20,38,9,24,28
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Rehobothschool,0345::SB19,,1895,706,1,1,0,1,0,610,99,0,0,1,0,0,709,225,141,27,69,58,74,47,13,4,11,0,4,33
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Zorgcentrum 't Boveneind,0345::SB20,,1578,933,1,6,0,0,0,831,109,0,0,0,0,0,940,214,262,33,80,76,105,68,16,24,31,3,4,17
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Wijkcentrum Aller Erf,0345::SB21,,1427,1658,7,6,0,0,0,1467,203,0,1,0,1,0,1670,436,250,77,188,181,152,151,53,50,62,5,24,29
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Youké,0345::SB22,,1548,453,0,0,0,0,0,388,65,0,0,0,0,0,453,113,82,28,52,36,50,32,11,9,17,1,11,11
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Dienstencentrum Kleine Beer,0345::SB23,,1619,888,5,2,0,0,0,813,82,0,0,0,0,0,895,197,150,35,96,86,86,87,48,37,20,5,35,6
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Buurthuis De Driehoek,0345::SB24,,1260,811,3,7,0,0,0,821,0,0,0,0,0,0,821,158,112,38,76,78,62,46,32,22,45,4,120,18
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School WereldKidz Achtbaan,0345::SB25,,1571,944,4,2,0,0,0,856,94,0,0,0,0,0,950,212,75,64,160,134,79,86,39,19,40,8,9,19
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School De Grondtoon (hoofdgebouw),0345::SB26,,1566,1286,2,2,0,0,0,1156,134,0,0,0,0,0,1290,302,99,87,234,217,119,91,21,34,38,6,6,32
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School De Burcht,0345::SB27,,1342,782,0,2,0,0,0,669,115,0,0,0,0,0,784,167,46,40,169,128,67,86,20,10,17,2,11,19
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School WereldKidz Mozaïek,0345::SB28,,1541,925,2,0,0,0,0,819,108,0,0,0,0,0,927,132,68,83,199,133,81,84,24,32,39,2,19,29
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Brede Wijkvoorz. 't SpeelKwartier,0345::SB29,,1405,913,2,0,0,1,0,786,130,0,0,1,0,0,916,154,81,62,154,135,40,119,26,21,36,7,58,20
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Gemeentehuis,0345::SB30,,1026,998,5,7,0,0,0,897,113,0,0,0,0,0,1010,119,44,57,180,151,78,100,44,43,51,1,103,27
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Ontmoetingshuis,0345::SB31,,1277,998,1,1,0,0,0,871,129,0,0,0,0,0,1000,227,131,68,191,96,65,70,24,18,37,2,47,22
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau De Meent (10-12 uur),0345::SB32,,0,79,1,0,0,0,0,73,7,0,0,0,0,0,80,30,12,5,7,1,8,8,4,0,3,0,0,1
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Sportcentrum De Vallei,0345::SB33,,1052,403,1,0,0,0,0,366,38,0,0,0,0,0,404,72,29,22,60,73,32,46,16,8,10,1,20,14
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau i-centrum Veenendaal-oost,0345::SB34,,970,413,2,2,0,0,0,355,61,0,1,0,1,0,416,110,58,10,71,41,30,47,5,4,11,1,9,16
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Sporthal West,0345::SB35,,474,650,3,1,0,0,0,590,64,0,0,0,0,0,654,150,43,62,96,79,32,59,38,10,33,1,23,24
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Rehobothschool (2),0345::SB36,,0,844,0,1,0,0,0,735,110,0,0,0,0,0,845,252,209,29,79,74,74,46,12,11,18,0,16,24
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Mobiel stembureau,0345::SB37,,0,168,2,0,0,0,0,160,10,0,0,0,0,0,170,27,11,10,19,31,28,19,7,3,5,0,4,4
