contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,Ouderen Appèl Eindhoven,CDA,GROENLINKS,'leefbaar eindhoven',Lijst Pim Fortuyn Eindhoven,ChristenUnie,DENK,Forum 0veertig,Stratums Belang,50PLUS,15,Brede Beweging LinksOm (BBL)
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vrijetijdsaccommodatie De Mortel,0772::SB11,,3364,605,4,1,0,2,0,546,66,0,0,2,0,0,612,63,45,54,74,34,118,73,19,36,22,5,9,1,36,11,5
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal,0772::SB12,,2780,612,2,0,0,0,0,552,61,0,1,0,1,0,613,58,48,60,58,34,97,65,27,40,33,12,15,0,42,8,15
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Service/verzorgingscentrum Antonius,0772::SB13,,3126,944,3,3,0,5,0,837,118,0,0,5,0,0,955,75,68,35,178,24,376,78,19,36,19,0,6,2,24,3,1
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Archipel Eerdbrand,0772::SB14,,3022,641,1,2,0,0,0,580,64,0,0,0,0,0,644,51,57,53,79,52,119,60,25,44,28,16,15,1,33,4,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Schelp,0772::SB15,,1502,598,4,7,0,0,0,563,46,0,0,0,0,0,609,97,18,85,48,30,72,50,14,50,15,69,9,0,30,7,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkcentrum 't Trefpunt Belgiëplein 20,0772::SB16,,1690,954,7,5,0,2,0,893,75,0,0,2,0,0,968,113,74,115,71,79,117,99,29,70,19,76,15,1,61,7,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingscentrum Vivaldi,0772::SB17,,2345,411,0,0,0,0,0,382,29,0,0,0,0,0,411,43,18,41,39,57,56,35,14,32,14,19,8,2,26,3,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Cornelis Jetses,0772::SB18,,2739,484,7,6,0,0,0,450,42,0,5,0,0,0,492,55,27,58,42,30,60,50,25,28,9,56,6,3,25,3,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Jurriaan Pels wooncentrum,0772::SB19,,1446,626,3,1,0,0,0,585,45,0,0,0,0,0,630,74,53,68,47,82,94,57,14,22,17,14,11,3,52,6,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Korenaar,0772::SB20,,3052,495,8,3,0,0,0,462,44,0,0,0,0,0,506,86,33,60,42,38,45,54,11,16,13,46,7,2,28,5,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Brunswijck,0772::SB21,,3215,573,6,2,0,2,0,548,35,0,0,2,0,0,583,76,41,54,44,47,80,68,22,34,28,26,10,2,33,5,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Archipel Landrijt,0772::SB22,,2963,509,7,3,0,0,0,483,36,0,0,0,0,0,519,54,50,52,45,39,67,42,25,40,12,22,8,3,39,6,5
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau service verzorgingscentrum Peppelrode,0772::SB23,,1801,691,2,1,0,0,0,629,67,2,0,2,0,0,696,89,69,59,96,55,105,76,26,24,21,6,10,3,38,5,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Wethouder van Eupen,0772::SB24,,2096,584,4,0,0,0,0,535,53,0,0,0,0,0,588,61,65,46,115,37,73,84,19,24,13,3,3,4,25,4,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Buurthuis de Boemerang,0772::SB25,,4202,564,2,1,0,2,0,523,46,0,0,2,0,0,569,75,56,48,82,43,69,61,16,17,29,17,6,0,33,12,0
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingscentrum de Cabine,0772::SB26,,3444,594,7,6,0,2,0,561,48,0,0,2,0,0,609,70,46,52,58,68,70,56,14,42,36,21,8,3,31,7,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Louis Buelens,0772::SB27,,2851,715,10,0,0,0,0,663,65,3,0,3,0,0,728,72,56,54,102,62,140,81,28,35,22,3,10,3,35,2,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Archipel Dommelhoef,0772::SB28,,1622,954,4,4,0,0,0,864,98,0,0,0,0,0,962,100,144,48,285,20,110,139,15,19,12,5,8,9,13,0,27
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau gebouw Rode Kruis,0772::SB29,,1884,1044,9,8,0,1,0,968,94,0,0,1,0,0,1062,169,147,80,136,42,76,167,31,28,12,71,11,4,27,7,36
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Driesprong,0772::SB30,,3564,692,4,3,0,0,0,621,79,1,0,1,0,0,700,107,75,76,58,50,54,71,15,30,4,92,11,2,20,11,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Berckelhof,0772::SB31,,3838,752,7,3,0,1,0,689,72,0,1,0,0,0,761,112,71,89,80,31,68,109,16,24,13,63,8,4,39,10,15
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Activiteitencentrum Orka,0772::SB32,,2926,781,7,6,0,1,0,724,71,0,0,1,0,0,795,88,61,114,83,53,65,115,19,41,18,26,16,7,38,15,22
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Spilcentrum de Boog,0772::SB33,,3194,746,5,4,0,0,0,675,80,0,0,0,0,0,755,90,78,55,183,37,92,76,20,30,14,16,5,3,36,4,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Woonzorgcentrum Wilgenhof,0772::SB34,,3090,792,7,1,0,0,0,727,74,0,0,1,0,0,801,118,103,64,108,43,70,148,24,16,6,4,2,27,18,4,37
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Wilakkers,0772::SB35,,3380,653,6,0,0,0,0,595,64,0,0,0,0,0,659,78,104,44,90,27,53,143,11,8,4,9,8,40,4,3,27
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Beppino Sarto,0772::SB36,,3145,788,5,1,0,0,0,724,70,0,0,0,0,0,794,137,74,73,98,55,53,95,20,18,10,76,8,32,28,3,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkcentrum 't Akkertje,0772::SB37,,4040,721,5,6,0,0,0,653,79,0,0,0,0,0,732,91,59,78,67,93,53,116,15,24,11,29,10,46,16,4,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Regenboog,0772::SB38,,3431,883,2,8,0,0,0,813,80,0,0,0,0,0,893,114,88,74,122,49,63,166,17,15,18,43,12,57,14,3,28
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Talisman,0772::SB39,,3408,906,3,4,0,0,0,828,86,1,0,1,0,0,914,161,111,52,145,52,64,184,16,9,9,14,5,37,11,6,30
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Wissenhage,0772::SB40,,1810,1075,5,4,0,0,0,956,128,0,0,0,0,0,1084,98,131,42,318,35,127,164,27,15,11,0,7,32,40,7,21
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Parktheater,0772::SB41,,3056,727,5,0,0,3,0,680,55,0,0,3,0,0,735,87,101,31,211,26,70,118,12,10,8,3,5,19,13,3,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Recreatieruimte Hof van Eden,0772::SB42,,1788,1021,9,3,0,2,0,952,83,0,0,2,0,0,1035,158,146,67,154,28,88,247,26,17,13,9,5,7,13,0,43
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Buurtcentrum de Rondweg,0772::SB43,,1592,808,9,4,0,0,0,755,66,0,0,0,0,0,821,201,104,44,111,42,60,136,24,8,14,11,8,9,14,2,20
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,"Stembureau Wijkcentrum de Dommel,Bennekelstr 131",0772::SB44,,1452,966,8,6,0,0,0,913,67,0,0,0,0,0,980,98,117,111,88,79,68,179,19,41,29,29,13,6,37,9,43
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,"Stembureau Wijkcentrum de Dommel,Bennekelstr 131",0772::SB45,,2625,332,2,1,0,0,0,295,40,0,0,0,0,0,335,51,28,39,16,35,15,29,9,27,13,35,4,2,11,12,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Wijkgebouw 't Slot,0772::SB46,,3579,677,3,1,0,5,0,632,54,0,0,5,0,0,686,82,58,72,102,39,71,99,10,35,32,6,8,6,39,3,15
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Genderhof,0772::SB47,,2900,673,6,3,0,2,0,619,61,0,2,0,0,0,680,81,58,59,89,50,82,93,21,32,20,9,15,7,32,9,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Karel de Grote,0772::SB48,,1853,780,2,8,0,0,0,721,69,0,0,0,0,0,790,103,60,120,57,54,63,107,19,50,20,69,7,4,24,5,18
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Engelsbergen,0772::SB49,,1509,643,6,4,0,0,0,604,49,0,0,0,0,0,653,88,59,84,51,60,70,103,13,22,15,22,5,3,31,8,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Vonderhof Bernhardplaats 1,0772::SB50,,2769,518,3,0,0,0,0,478,44,1,0,1,0,0,522,74,72,33,78,19,33,140,13,13,7,0,2,4,13,2,15
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Summa College Welzijn,0772::SB51,,2769,694,5,1,0,0,0,638,62,0,0,0,0,0,700,107,100,45,103,33,55,148,25,22,6,6,4,1,25,3,11
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Trudo,0772::SB52,,3043,747,9,0,0,0,0,696,61,1,0,1,0,0,757,96,107,69,106,28,71,145,13,20,10,7,11,5,27,9,23
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gemeenschapshuis de Lievendaal,0772::SB53,,1550,393,2,0,0,0,0,363,34,2,0,2,0,0,397,46,41,43,44,40,28,39,11,32,13,12,10,2,21,4,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Sociëteit Het Struiske Struyckenstr 10,0772::SB54,,2084,807,6,2,0,0,0,754,63,2,0,2,0,0,817,86,117,83,105,39,96,112,25,56,10,8,8,2,29,12,19
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau De Mortel Savoiepad 14,0772::SB55,,2171,699,4,2,0,1,0,645,59,0,1,0,0,0,704,65,53,78,89,38,117,80,24,45,17,9,6,2,54,13,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Boschuil,0772::SB56,,2898,694,4,1,0,0,0,610,89,0,0,0,0,0,699,48,72,30,188,28,160,41,25,30,11,12,6,1,36,3,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Vuurvlinder,0772::SB57,,1716,575,1,0,0,0,0,515,61,0,0,0,0,0,576,56,60,21,140,21,111,51,20,33,11,5,7,4,28,1,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Vuurvlinder,0772::SB58,,2483,574,5,1,0,0,0,523,57,0,0,0,0,0,580,60,63,34,129,24,96,49,25,27,17,6,7,1,21,12,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal Basisschool De reis van Brandaan,0772::SB59,,1584,957,1,0,0,2,0,856,105,1,0,3,0,0,961,107,116,49,188,66,125,141,30,25,20,6,4,38,23,7,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Woonzorgcentrum Gagelbosch,0772::SB60,,1299,699,8,3,0,0,0,662,48,0,0,0,0,0,710,74,51,71,48,117,95,58,24,33,24,19,8,8,46,11,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal 't Slingertouw Grasbloem,0772::SB61,,1691,867,6,8,0,0,0,781,100,0,0,0,0,0,881,113,85,82,187,39,93,81,31,35,24,35,8,6,31,3,14
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau De Hangar (ingang Meerbos 4),0772::SB62,,2675,895,3,2,0,0,0,794,106,0,0,0,0,0,900,101,107,45,188,60,103,102,37,25,23,19,14,4,44,12,11
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Kantine Sportpark Het Schaapsdijk 109,0772::SB63,,3242,657,5,1,0,0,0,570,93,0,0,0,0,0,663,58,90,30,193,28,104,54,13,18,11,12,5,1,31,5,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Station NS centrumzijde,0772::SB64,,0,1123,13,1,0,0,0,1077,60,0,0,0,0,0,1137,103,247,61,192,25,74,273,25,19,18,7,11,11,29,6,22
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Nat Lab Kastanjelaan 500,0772::SB65,,2456,989,10,1,0,1,0,949,52,0,0,1,0,0,1001,132,205,60,139,22,48,233,25,25,36,10,5,8,17,10,14
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau B&O gebouw Pieter Poststraat 13A,0772::SB66,,863,486,4,0,0,0,0,438,52,0,0,0,0,0,490,51,49,45,51,22,40,82,11,32,13,45,6,4,24,8,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Sociëteit Het Struikske,0772::SB67,,1432,411,1,3,0,0,0,386,29,0,0,0,0,0,415,65,46,46,41,36,30,44,7,29,15,13,8,0,23,4,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Stadhuis,0772::SB68,,0,686,8,5,0,0,0,648,51,0,0,0,0,0,699,74,108,33,160,15,61,112,16,26,13,10,18,8,11,2,19
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Driestam,0772::SB69,,946,422,3,0,0,0,0,382,43,0,0,0,0,0,425,64,51,29,53,15,32,86,9,12,3,31,5,1,16,4,11
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Fellenoord,0772::SB70,,1245,607,11,2,0,0,0,570,50,0,0,0,0,0,620,87,71,48,61,33,43,89,18,21,12,53,5,10,25,11,20
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Popei Klokgebouw 300,0772::SB71,,2143,608,10,2,0,1,0,582,37,0,1,0,0,0,619,61,117,51,81,9,31,147,14,19,5,11,10,6,10,10,26
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis De Horst,0772::SB72,,1520,538,4,5,0,1,0,514,34,0,0,1,0,0,548,53,52,37,52,58,101,46,12,25,15,35,5,2,35,3,7
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Atalanta,0772::SB73,,0,691,3,3,0,2,0,637,58,0,2,0,0,0,695,114,61,59,67,36,66,54,12,36,8,110,11,6,34,5,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingsruimte Pieter Eiffhuis,0772::SB74,,0,601,0,0,0,0,0,547,54,0,0,0,0,0,601,52,49,65,83,56,119,35,20,25,38,5,2,0,38,10,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vrijetijdsaccommodatie De Mortel,0772::SB75,,0,595,8,2,0,0,0,554,51,0,0,0,0,0,605,55,45,33,93,33,96,68,24,45,17,11,14,1,40,7,13
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Gymzaal Bordeauxlaan,0772::SB76,,0,433,1,0,0,0,0,396,38,0,0,0,0,0,434,50,30,54,54,16,61,59,7,25,19,5,4,4,26,11,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Service/verzorgingscentrum Antonius,0772::SB77,,0,905,0,2,0,0,0,777,129,0,1,0,0,0,906,58,68,45,124,26,367,73,24,37,26,0,9,3,34,3,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Archipel Den Eerdbrand/De Bevelanden,0772::SB78,,0,606,1,1,0,0,0,553,55,0,0,0,0,0,608,76,56,63,65,34,112,63,11,38,17,14,3,3,32,11,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingscentrum Vivaldi,0772::SB79,,0,438,1,2,0,2,0,418,25,0,0,2,0,0,443,45,26,58,31,56,61,22,10,41,16,24,9,0,33,3,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Cornelis Jetses,0772::SB80,,0,541,3,6,0,1,0,498,53,0,0,1,0,0,551,84,38,66,61,32,60,52,14,27,11,52,6,2,21,9,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool de Korenaar,0772::SB81,,0,527,4,4,0,0,0,494,41,0,0,0,0,0,535,66,43,74,49,31,64,47,12,40,22,25,8,2,29,11,4
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Brunswijck,0772::SB82,,0,667,2,1,0,0,0,612,58,0,0,0,0,0,670,64,68,67,52,60,87,77,18,32,22,39,15,1,45,8,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Archipel Landrijt,0772::SB83,,0,545,3,2,0,0,0,512,38,0,0,0,0,0,550,65,35,71,60,29,59,56,19,38,21,22,13,3,41,7,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Wethouder van Eupen,0772::SB84,,0,716,5,2,0,0,0,659,64,0,0,0,0,0,723,76,96,51,126,38,95,117,18,19,20,8,4,2,33,1,12
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Buurthuis de Boemerang,0772::SB85,,0,658,9,4,0,0,0,616,55,0,0,0,0,0,671,70,63,57,85,48,86,76,18,28,30,29,14,1,43,7,3
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Buurthuis de Boemerang,0772::SB86,,0,522,4,3,0,0,0,485,44,0,0,0,0,0,529,70,48,47,65,43,66,46,15,23,23,23,6,2,32,7,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingscentrum de Cabine,0772::SB87,,0,629,6,2,0,0,0,590,47,0,0,0,0,0,637,93,50,66,47,63,92,63,9,36,25,20,12,1,33,9,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Louis Buelens,0772::SB88,,0,742,3,4,3,2,0,664,80,0,5,0,0,0,744,99,74,55,100,66,113,88,27,34,26,8,6,3,30,7,6
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Driesprong,0772::SB89,,0,500,7,0,0,0,0,455,52,0,0,0,0,0,507,83,47,47,32,24,49,82,18,22,11,53,5,1,11,4,11
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Vitalis Berckelhof,0772::SB90,,0,638,6,3,0,0,0,590,57,0,0,0,0,0,647,115,66,69,65,36,54,69,27,21,15,54,6,7,16,8,10
