contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,GROENLINKS
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Sporthal De Marse,1690::SB11,7963 BZ,1297,772,4,0,0,0,0,712,64,0,0,0,0,0,776,346,208,38,74,39,16,51
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis Bastogne,1690::SB12,7964 KK,486,352,2,0,0,0,0,324,30,0,0,0,0,0,354,75,83,37,50,38,15,54
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis De Schakel,1690::SB13,7958 SB,1519,951,5,5,0,0,0,878,83,0,0,0,0,0,961,432,94,229,37,44,43,72
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Welzijncentrum Havezate,1690::SB14,7957 AC,1159,845,2,0,0,0,0,783,62,0,2,0,0,0,845,387,165,39,95,54,16,89
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Zorgcentrum Dunninghe,1690::SB15,7957 EA,1237,728,0,1,0,0,0,666,60,0,3,0,0,0,726,285,165,60,60,72,33,53
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis D'Olde Karke,1690::SB16,7932 PP,309,244,1,2,0,0,0,228,19,0,0,0,0,0,247,104,63,24,6,6,27,14
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis De Alke,1690::SB17,7927 TC,1303,770,3,1,0,0,0,700,75,0,0,1,0,0,775,244,74,293,27,26,74,32
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Zorgcentrum 't Vonder,1690::SB18,7961 AV,1220,729,2,1,0,0,0,692,40,0,0,0,0,0,732,282,125,138,77,49,22,36
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis De Veldhoek,1690::SB19,7958 RC,493,289,1,0,0,0,0,263,27,0,0,0,0,0,290,115,34,41,23,20,13,43
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau De Ontmoetingskerk,1690::SB20,7921 AH,1227,671,4,0,0,0,0,625,50,0,0,0,0,0,675,239,90,124,37,28,86,67
