contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland,uncounted_geen briefstembiljetten,uncounted_te veel briefstembiljetten
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis Vrederust-West,0518::SB235,2542 XA,2040,490,0,5,0,0,1,430,64,,0,0,0,0,0,495,16,47,34,44,18,120,20,28,17,23,1,44,1,69,0,8,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Parkoers Stichting VTV,0518::SB236,2533 SX,772,122,0,0,0,0,0,112,10,,0,0,0,0,0,122,5,3,9,6,12,27,5,11,11,7,0,0,0,23,0,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stadsdeelkantoor Escamp,0518::SB239,2545 HA,1372,752,2,7,0,0,4,661,96,,0,0,0,0,0,761,43,33,62,65,47,169,18,76,44,33,2,58,3,90,0,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ontmoetingscentrum Morgenstond,0518::SB242,2541 JG,2002,307,4,1,0,0,1,281,30,,0,0,0,0,0,312,14,22,26,21,28,64,11,27,11,17,1,15,0,47,1,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau AC Sparring - Gemiva SVG Groep,0518::SB244,2545 HP,1042,136,0,0,0,0,0,124,12,,0,0,0,0,0,136,6,10,11,12,12,25,2,10,8,10,0,7,1,21,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau ROC Mondriaan,0518::SB246,2545 VX,3456,802,0,3,0,0,0,678,127,,0,0,0,0,0,805,53,46,44,93,37,154,27,59,44,34,2,60,1,139,1,8,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Woonzorgcentrum Moerwijk,0518::SB254,2531 RB,2301,418,2,5,0,0,0,372,52,,1,1,0,0,0,424,18,8,51,34,31,79,28,19,21,25,0,43,0,54,1,6,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Moerwijk,0518::SB259,2533 TG,2285,456,0,4,0,1,0,405,54,,0,1,0,0,0,459,21,13,65,28,29,121,17,37,11,15,3,50,1,44,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verzorgingshuis Waterhof,0518::SB261,2548 MC,1366,249,1,1,0,1,1,226,25,,0,0,1,0,0,252,13,17,31,33,20,45,9,15,11,14,1,1,0,34,1,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Maria Montessorischool,0518::SB262,2548 NT,1650,569,0,2,0,0,0,487,85,,1,0,1,0,0,572,60,41,11,157,14,70,17,56,14,17,0,25,0,79,0,8,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau RKBS De Fontein,0518::SB265,2548 CK,2157,416,0,3,0,0,0,346,73,,0,0,0,0,0,419,37,26,16,75,13,66,6,24,22,19,0,25,0,78,2,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau RKBS De Fontein,0518::SB266,2548 CK,556,655,1,2,0,1,0,541,118,,0,0,1,0,0,659,44,45,23,150,22,115,13,42,23,37,1,27,0,106,0,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WZH Hoge Veld,0518::SB268,2548 CG,2275,501,0,3,0,1,0,445,61,,0,0,2,0,1,506,23,32,42,86,16,82,4,30,23,35,0,15,2,97,0,14,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau CBS De Gantel,0518::SB270,2548 BR,2245,1059,0,3,0,6,0,918,150,,0,0,6,0,0,1068,84,92,61,200,32,183,26,77,34,51,2,25,4,178,0,10,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Roemer Visscher College,0518::SB275,2533 VG,1746,253,0,7,0,0,0,233,27,,0,0,0,0,0,260,15,10,22,13,29,44,7,19,10,11,0,29,1,38,0,5,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SCSV De Ster,0518::SB276,2531 VE,67,64,2,0,0,0,0,56,10,,0,0,0,0,0,66,2,2,3,3,3,20,1,8,3,0,0,5,0,12,0,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De Drentse Hoek,0518::SB277,2545 SL,1759,373,0,0,0,0,0,303,72,,0,0,2,0,2,375,21,10,18,29,28,82,13,21,8,16,2,74,0,48,0,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Haga Ziekenhuis,0518::SB278,2545 AA,2673,1019,3,4,0,2,5,910,113,,0,0,2,0,0,1028,89,67,56,128,27,204,28,131,60,48,1,27,1,134,3,15,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De Wissel,0518::SB280,2541 RL,781,195,1,3,0,0,0,173,26,,0,0,0,0,0,199,11,8,12,11,6,38,3,14,10,14,2,31,0,32,3,0,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau ISV Kameleon,0518::SB281,2543 RT,1237,154,0,4,0,0,0,138,20,,0,0,0,0,0,158,8,10,10,4,16,35,10,9,8,5,1,17,1,18,0,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau The Student Hotel,0518::SB283,2526 BN,2046,434,6,1,0,0,3,398,40,,0,0,0,0,0,441,37,13,8,27,17,86,15,114,27,3,1,43,0,26,1,16,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stadsboerderij Op den Dijk,0518::SB286,2548 AX,2454,964,4,1,0,2,0,851,120,,0,0,2,0,0,971,73,58,36,188,19,161,14,92,44,53,1,21,1,175,4,24,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SBS ('s-Gravenhaagsche Bridgeschool),0518::SB287,2544 CV,48,37,0,0,0,0,0,35,2,,0,0,0,0,0,37,5,1,4,5,1,6,0,8,3,2,0,0,0,1,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Vereniging Jeugd en Paard de Eendenkooi,0518::SB291,2533 SX,71,109,0,0,0,0,0,91,18,,0,0,0,0,0,109,11,10,5,10,6,19,2,20,4,3,0,4,1,10,2,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Centrum Rumoer,0518::SB292,2547 LP,1279,198,1,1,0,1,0,172,29,,0,0,1,0,0,201,15,21,21,12,15,26,4,24,11,10,0,9,1,28,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau S.V. Wateringse Veld Kranenburg,0518::SB293,2548 ZS,3452,559,0,2,0,2,0,449,110,,0,2,0,0,0,559,39,32,27,107,25,96,9,33,16,32,0,20,0,119,0,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hart van Moerwijk,0518::SB296,2531 KA,1801,300,0,6,0,0,0,267,39,,0,0,0,0,0,306,18,11,16,20,9,56,15,34,21,10,1,35,1,48,0,5,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkberaad Leyenburg,0518::SB299,2547 LK,127,131,1,0,0,2,0,118,16,,0,0,2,0,0,134,8,9,6,17,3,21,7,10,12,9,1,3,0,24,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorghuis Dr. W. Drees,0518::SB301,2517 PM,1348,756,1,5,0,1,1,673,89,,0,0,1,0,0,763,88,37,22,132,16,154,20,134,59,17,0,0,7,42,2,26,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De Klimop,0518::SB303,2562 SK,2203,639,2,3,0,4,1,574,73,,0,0,4,0,0,648,56,12,30,53,30,107,5,172,44,14,0,19,4,69,2,22,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SBO De Bonte Vlinder,0518::SB304,2565 XD,1723,753,2,1,0,0,3,660,93,,0,0,0,0,0,756,92,31,9,85,19,185,10,159,76,16,0,0,1,51,0,19,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Eltheto,0518::SB305,2565 CE,2112,710,1,1,0,1,1,629,83,,0,0,1,0,0,713,80,32,7,128,26,126,30,105,31,33,0,3,2,85,1,21,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Partycentrum Het Drieluik,0518::SB306,2562 VG,1701,477,1,1,0,0,1,438,39,,0,1,0,1,0,478,58,11,14,30,13,71,8,154,37,10,1,10,0,34,4,22,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De Zonnebloem,0518::SB307,2565 RE,964,670,0,0,0,0,0,610,60,,0,0,0,0,0,670,87,52,11,153,10,119,12,92,45,25,0,0,2,51,0,11,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum De Hyacint,0518::SB308,2565 DD,1909,1089,3,9,0,1,1,1002,97,,0,1,0,0,0,1100,97,70,41,167,24,202,31,170,76,40,5,1,2,128,3,32,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Christelijk College De Populier,0518::SB310,2565 MK,1944,1220,3,4,0,1,0,1116,112,,0,0,1,0,0,1228,151,65,28,153,35,209,34,245,116,28,1,2,1,109,4,39,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS Houtrust,0518::SB311,2566 JP,753,755,2,0,0,0,1,650,106,,0,0,0,0,0,757,99,59,9,208,10,127,22,89,45,14,0,0,0,57,0,16,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Huize Eykenburg,0518::SB314,2564 VD,1917,651,1,1,0,0,2,593,58,,0,0,0,0,0,653,66,55,24,111,15,120,14,92,41,27,2,5,1,67,1,10,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Florence Woonzorgcentrum Uitzicht,0518::SB316,2565 RW,873,570,2,0,0,0,3,496,73,,0,0,0,0,0,572,69,65,6,139,4,102,14,55,32,18,0,2,2,43,0,19,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sporthal Loosduinen,0518::SB317,2555 LZ,547,256,0,0,0,0,0,226,30,,0,0,0,0,0,256,10,17,8,48,7,48,12,25,19,8,0,1,0,52,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau CBS De Vliermeent,0518::SB323,2564 HT,1593,755,1,1,0,0,0,656,101,,0,0,0,0,0,757,66,39,17,124,14,155,22,145,51,23,1,2,0,81,4,11,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Florence Woonzorgcentrum Jonker Frans,0518::SB325,2562 JZ,2400,740,2,5,0,0,2,658,87,,0,0,0,0,0,747,63,19,26,43,49,137,13,191,52,15,3,38,2,63,3,23,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stichting Federatie Eekta,0518::SB326,2563 EK,1256,321,1,0,0,0,1,288,33,,0,0,0,0,0,322,28,9,14,23,25,59,7,59,29,11,2,4,0,33,1,17,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Bibliotheek Segbroek,0518::SB327,2562 HL,3012,1373,5,13,0,2,2,1266,125,,0,0,2,0,0,1393,125,50,31,111,32,270,36,415,111,36,0,25,2,77,5,47,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Goede Herder Kapel,0518::SB328,2563 GD,2042,459,2,6,0,0,1,416,50,,0,0,0,0,0,467,37,23,21,39,21,65,16,98,55,13,1,0,0,56,0,14,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dienstencentrum Copernicus,0518::SB333,2561 TT,2914,1532,4,4,0,0,2,1377,161,,0,0,0,0,0,1540,195,42,21,163,37,323,19,457,119,26,1,4,4,67,3,51,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis Het Zamen,0518::SB339,2518 LH,1376,439,1,1,0,0,3,401,37,,0,0,0,0,0,441,39,21,13,54,16,90,10,91,27,22,1,13,1,25,2,14,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stichting Wijkberaad Vruchtenbuurt,0518::SB340,2564 VP,2043,1289,3,2,0,0,2,1144,148,,0,0,0,0,0,1294,137,90,33,246,20,232,23,244,88,34,0,3,1,106,1,31,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum 't Lindenkwadrant,0518::SB341,2563 HJ,1845,678,3,1,0,0,2,604,76,,0,0,0,0,0,682,52,23,40,68,32,128,9,149,59,22,0,4,2,75,4,11,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau O.G. Heldringschool,0518::SB343,2566 VS,2030,1172,1,0,0,0,2,1003,171,,3,0,3,0,0,1176,204,83,11,339,8,161,25,118,43,17,1,2,2,114,13,31,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Bewonersoverleg Duinoord,0518::SB344,2517 GP,889,1098,0,3,0,0,2,985,114,,0,0,0,0,0,1101,218,44,10,206,25,173,9,195,82,21,0,1,1,61,2,50,,
