contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT),Politieke Partij NXD
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Korfbalvereniging Swift,0363::SB14,,1176,858,1,4,162,289,30,8,73,177,73,1,3,31,4,1,0,1,0,4,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dependance Theo Thijssen,0363::SB15,,1296,922,1,1,165,274,63,3,83,203,58,1,0,49,5,3,0,1,0,9,2,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School St Aloysius,0363::SB17,,1283,1075,1,1,222,328,70,14,89,217,63,6,0,41,8,1,0,1,0,10,2,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Parelschool,0363::SB19,,761,939,3,3,98,390,59,2,103,165,74,3,1,28,1,2,0,0,1,7,0,0,4,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Parelschool,0363::SB20,,741,879,2,0,102,333,30,10,112,150,73,8,1,35,7,3,2,4,0,5,0,2,1,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Balie,0363::SB21,,857,808,3,2,252,212,13,9,45,186,58,3,0,19,3,2,0,0,0,4,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Balie,0363::SB22,,864,803,1,2,215,214,18,7,51,193,50,3,0,39,6,1,0,0,0,6,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het Claverhuis,0363::SB23,,1231,1009,2,0,276,296,23,23,72,206,58,1,0,33,3,1,0,1,0,12,0,0,4,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het Claverhuis,0363::SB24,,1264,1075,5,5,307,277,44,17,63,232,74,6,0,34,11,0,0,2,0,6,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 14e Montessorischool De Jordaan,0363::SB25,,720,672,0,3,114,230,20,3,59,144,54,2,1,33,6,1,0,1,0,3,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kerk De Duif,0363::SB26,,1239,1151,0,2,371,257,26,18,67,303,63,4,0,30,3,0,1,2,0,5,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kerk De Duif,0363::SB27,,1171,1129,1,0,334,274,12,18,50,311,76,2,0,38,3,2,0,1,0,8,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Posthoornkerk,0363::SB29,,1069,1045,2,4,168,329,36,20,82,265,76,3,0,43,5,1,0,0,0,14,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Posthoornkerk,0363::SB30,,1079,1071,0,2,211,356,34,8,94,207,87,3,0,54,4,1,0,1,0,5,0,0,5,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School De Eilanden,0363::SB32,,1254,932,3,5,126,346,28,6,99,172,91,4,0,40,5,5,0,0,0,10,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School De Eilanden,0363::SB33,,1075,830,1,3,131,314,30,5,96,141,68,2,0,30,5,3,0,0,0,3,1,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Sint Jacob,0363::SB34,,799,692,1,2,112,241,21,22,82,127,48,3,0,21,4,0,0,0,0,10,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Sint Jacob,0363::SB35,,769,617,2,2,93,230,13,18,68,104,43,5,1,29,4,0,0,1,0,8,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau ASVO school,0363::SB36,,791,726,0,0,218,205,12,10,36,169,47,2,0,21,2,1,0,2,0,1,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau ASVO school,0363::SB37,,788,768,0,1,230,216,12,15,23,205,42,2,1,13,5,0,0,1,0,3,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dr. Sarphatihuis,0363::SB38,,923,908,2,2,152,309,27,17,66,210,76,3,0,34,5,1,0,0,0,3,2,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dr. Sarphatihuis,0363::SB39,,1140,1140,0,0,209,359,35,15,85,260,99,9,0,39,12,0,0,0,0,10,4,1,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau NH Caransa Hotel,0363::SB42,,755,548,1,4,191,139,15,5,18,128,27,1,0,15,2,1,0,1,0,2,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Witte Boei,0363::SB43,,1282,483,2,3,39,200,37,1,87,48,29,4,0,21,3,3,0,1,0,8,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Witte Boei,0363::SB44,,1197,473,5,0,48,187,25,5,88,61,29,1,0,21,0,0,0,0,0,7,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School De Pool,0363::SB45,,1397,648,3,3,57,279,42,5,83,87,59,1,0,28,0,1,0,0,0,5,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School De Pool,0363::SB46,,1286,783,1,7,84,299,49,11,109,87,84,18,0,24,4,1,0,0,0,12,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Diaconie Protestantse Gemeente,0363::SB48,,1272,916,2,1,140,287,22,16,100,211,81,11,1,30,8,2,0,2,0,4,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verpleeghuis Wittenberg,0363::SB49,,777,704,0,1,130,268,19,11,44,146,48,4,1,24,4,0,0,0,0,5,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woon- en Zorgcentrum De Rietvinck,0363::SB50,,1237,935,1,6,120,331,69,12,127,136,60,4,0,49,9,2,0,0,0,15,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau COC Amsterdam,0363::SB51,,1219,882,4,3,191,262,24,8,97,194,62,3,3,26,3,1,0,1,0,4,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau COC Amsterdam,0363::SB52,,1270,900,1,1,186,270,21,11,88,194,61,4,0,41,11,2,0,0,1,7,1,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Vlaams Cultuurhuis De Brakke Grond,0363::SB55,,1225,837,1,1,201,238,15,6,48,202,72,10,1,32,7,2,0,0,0,1,1,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sportcentrum Het Marnix,0363::SB56,,1328,998,2,4,172,311,62,5,112,175,65,7,2,42,8,7,0,1,1,20,1,0,5,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Centraal Station,0363::SB57,,0,1891,6,27,342,604,34,26,192,401,165,18,2,71,19,3,1,0,1,8,0,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Centraal Station,0363::SB58,,605,1861,11,2,328,607,32,27,151,447,161,12,1,66,11,4,0,1,0,11,0,1,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau V&D,0363::SB59,,0,222,2,0,33,78,10,4,16,38,30,2,0,8,0,0,0,1,0,2,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Melkweg Galerie,0363::SB60,,1063,921,3,6,277,251,14,13,52,206,55,5,1,28,10,2,0,1,0,3,1,1,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Westerkerk,0363::SB61,,1009,957,2,1,270,257,25,8,60,226,57,2,1,34,4,0,0,1,0,8,0,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Noorderkerk,0363::SB62,,1295,1223,4,2,313,355,39,18,64,289,73,5,4,41,6,0,1,1,0,11,1,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau NH Grand Hotel Krasnapolsky,0363::SB63,,1136,1192,4,5,309,321,29,9,80,302,69,9,0,41,17,0,0,3,0,2,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Westerkerk,0363::SB64,,1163,954,3,1,261,275,18,14,52,218,65,3,0,35,3,1,0,0,0,7,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsarchief - gebouw De Bazel,0363::SB65,,813,950,3,1,336,202,8,12,42,244,64,6,0,24,4,2,0,0,0,4,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het Perron,0363::SB67,,1303,965,0,1,166,314,29,9,98,197,85,1,2,50,3,3,0,0,0,6,0,1,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Korfbalvereniging Swift,0363::SB68,,1406,894,4,2,175,325,15,10,76,198,62,2,2,23,2,0,0,0,0,4,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cordares Diensten B.V.,0363::SB71,,309,221,0,0,37,73,18,3,26,26,19,0,0,14,2,0,0,0,0,0,0,0,2,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Station Sloterdijk - Starbucks,0363::SB72,,0,1201,3,1,238,366,36,18,96,288,72,12,6,43,14,3,0,0,0,7,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Kleine Reus,0363::SB73,,1211,1014,4,0,300,252,12,15,51,275,59,5,0,38,1,0,0,0,0,5,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Flesseman Centrum van Ouderen,0363::SB74,,1262,1157,6,7,174,397,44,9,133,208,88,3,2,68,5,2,0,1,1,20,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kamer van Koophandel Amsterdam,0363::SB76,,1302,855,1,0,231,268,33,4,56,170,45,6,0,22,4,2,0,0,0,12,1,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Rosa en Rita,0363::SB78,,1408,1120,1,3,192,390,29,9,112,230,97,4,1,27,6,7,0,3,1,6,3,0,1,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Noorderspeeltuin,0363::SB80,,1313,925,3,1,190,301,62,9,85,139,61,4,2,49,3,5,0,2,2,11,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Insulinde,0363::SB81,,1332,755,7,13,74,357,24,17,76,108,68,4,0,13,2,4,0,1,0,6,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kindervreugd,0363::SB82,,1141,467,0,2,58,154,49,13,65,52,38,5,1,17,4,0,0,0,1,10,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Insulinde,0363::SB83,,1349,766,6,8,54,334,34,16,109,122,53,1,1,18,7,3,0,2,0,6,0,0,4,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het JAV'ART Huis,0363::SB84,,1263,694,2,3,52,369,33,16,76,69,45,2,3,17,2,1,0,0,0,4,0,0,1,4,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kindervreugd,0363::SB85,,1041,443,0,5,43,167,43,19,76,35,27,4,3,17,5,1,0,0,0,3,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Batavia,0363::SB87,,1298,672,3,9,46,353,42,15,88,60,33,1,0,18,3,2,0,0,0,9,2,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Instroomhuis,0363::SB89,,1491,793,1,3,97,330,34,11,87,117,65,6,1,29,6,2,0,0,0,7,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Het JAVÁRT Huis,0363::SB90,,1370,741,0,2,37,384,33,9,98,78,60,3,0,28,2,3,0,0,0,5,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS De Kleine Kapitein,0363::SB93,,1462,1112,0,4,247,357,32,10,54,247,108,2,1,35,6,2,0,0,1,10,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau KHL Koffiehuis,0363::SB94,,1293,1004,2,1,154,378,18,12,91,230,84,4,0,25,2,0,0,0,2,2,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kompaszaal,0363::SB95,,1464,1115,3,1,215,441,29,17,75,202,87,4,1,29,5,1,0,0,0,6,1,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Het Gouden Ei,0363::SB96,,1481,1296,4,4,217,500,34,7,128,233,107,10,0,37,10,4,0,1,0,4,0,1,2,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau KHL Koffiehuis,0363::SB97,,1306,966,0,1,145,375,14,9,73,221,77,4,0,32,4,1,0,5,1,2,0,0,1,1,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Instroomhuis,0363::SB100,,1434,556,0,2,68,234,18,20,80,73,30,2,0,21,0,2,0,2,0,4,0,0,0,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool Het Gouden Ei,0363::SB102,,1473,1288,1,2,206,502,32,21,99,233,123,6,0,40,7,3,2,0,0,10,1,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stayokay Amsterdam Zeeburg,0363::SB104,,1404,967,1,8,103,370,30,12,90,199,100,9,1,33,9,7,0,1,0,1,0,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau J.P. Coenschool,0363::SB105,,1390,732,4,9,83,289,14,11,62,163,63,2,1,31,4,3,0,1,0,5,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau J.P. Coenschool,0363::SB107,,1251,1034,1,6,129,367,35,11,83,233,109,12,0,36,8,2,0,0,0,5,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS Olympus,0363::SB108,,1179,664,0,4,150,250,34,10,39,123,28,7,0,13,2,1,0,0,0,6,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Batavia,0363::SB109,,1446,830,3,13,57,433,51,19,112,75,39,6,0,25,1,1,0,0,2,5,0,0,4,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS Olympus,0363::SB110,,1191,645,3,1,137,251,20,5,53,118,34,6,0,10,7,1,0,2,0,0,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkpartners,0363::SB111,,1258,912,3,5,225,343,42,16,63,133,44,6,5,21,0,1,1,1,0,8,0,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Montessorischool Steigereiland,0363::SB112,,1383,1204,5,4,256,461,38,6,73,234,88,6,1,25,2,2,0,0,0,4,0,0,5,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau abbs De Zuiderzee,0363::SB113,,1290,788,0,1,242,217,10,7,53,188,40,4,0,13,3,2,1,1,0,3,0,0,3,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Cafe Kanis & Meiland,0363::SB114,,1470,1169,3,0,170,454,47,7,132,190,102,2,0,45,3,5,0,0,0,8,0,0,4,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau IJburg College,0363::SB115,,1390,899,2,2,266,323,29,18,63,121,41,9,2,17,7,1,0,0,0,1,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau IJburg College,0363::SB116,,1301,870,1,9,259,279,31,11,56,170,22,6,2,18,4,0,0,0,0,6,1,0,3,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau IJburg College,0363::SB117,,1327,1018,3,6,311,340,27,18,65,173,35,14,0,21,3,1,0,2,0,7,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Katholieke Basisschool Willibrord,0363::SB118,,1235,1129,1,2,349,348,25,14,64,227,42,5,0,29,5,0,0,2,3,13,1,0,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Fitnessclub Fitt4Less,0363::SB119,,1478,1248,3,6,373,348,23,14,74,254,87,4,2,43,14,0,0,1,0,9,0,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Dapper,0363::SB122,,1342,975,5,9,85,446,41,21,117,118,84,4,0,36,9,3,0,0,1,6,0,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Dapper,0363::SB123,,1368,939,4,4,81,434,31,16,115,140,67,4,0,22,9,3,1,1,0,6,1,0,2,6,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw - tegenover Muiderpoortstation,0363::SB124,,790,844,5,2,95,337,26,10,88,148,90,1,0,36,4,4,0,0,0,4,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS Aldoende,0363::SB125,,1445,865,4,3,142,285,26,7,99,188,73,2,0,31,7,0,0,1,0,3,0,0,0,0,1
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS Aldoende,0363::SB126,,1480,979,7,3,179,338,25,14,113,179,85,2,1,31,1,0,0,1,0,6,1,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School Louise de Coligny,0363::SB127,,1482,843,2,3,98,340,33,13,86,136,84,4,1,27,6,4,1,0,0,5,1,0,2,2,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ouderencentrum De Gooyer,0363::SB128,,1444,990,4,6,94,417,63,22,142,114,60,8,1,37,8,3,0,0,0,18,0,0,0,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Woonzorgcentrum Kastanjehof,0363::SB129,,1276,1134,4,5,140,458,54,12,119,173,101,7,1,40,10,3,0,1,0,10,0,1,1,3,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School Louise de Coligny,0363::SB132,,1478,959,1,5,105,379,32,10,113,154,108,13,2,23,5,3,1,0,0,8,1,0,2,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multicultureel Centrum,0363::SB133,,1425,935,1,17,68,488,44,31,86,108,69,3,2,18,3,2,0,0,0,7,0,0,2,4,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurtcentrum,0363::SB134,,1433,700,2,3,93,304,30,15,71,98,48,2,1,18,10,0,0,1,0,2,1,0,2,4,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Silver Scissors,0363::SB135,,1459,1056,2,6,92,465,31,11,144,155,96,10,0,26,6,3,0,0,0,11,0,0,1,3,2
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsdeelhuis,0363::SB137,,1271,1056,1,6,155,425,33,11,90,185,86,12,0,44,4,0,0,1,0,8,0,0,0,0,2
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsdeelhuis,0363::SB138,,1180,545,2,10,79,221,22,10,45,94,45,1,2,23,1,0,1,0,0,1,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadsdeelhuis,0363::SB139,,1080,699,2,2,81,272,29,12,70,114,72,7,1,25,5,2,0,0,0,7,0,0,2,0,0
