contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sibculo; De Horst,0160::SB24,,1096,793,1,0,166,180,74,212,53,23,6,42,13,5,3,0,0,0,3,11,0,0,1,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Slagharen; RK kerk,0160::SB25,,1014,762,0,2,190,171,84,133,93,37,4,6,0,5,4,1,0,0,0,31,0,0,1,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Schuinesloot; Trefpunt,0160::SB28,,768,574,0,1,186,95,58,113,36,29,8,27,5,6,2,1,0,0,0,8,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hardenberg; Oostloorn,0160::SB29,,1583,1226,0,7,242,278,57,329,91,45,9,136,13,9,0,1,0,0,3,10,1,0,1,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Lutten; Pro Rege,0160::SB30,,1394,1079,1,2,204,228,104,233,85,28,11,142,20,11,0,0,0,1,0,11,0,0,0,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; Kerk. Geref. Centrum,0160::SB31,,1371,1002,1,6,258,211,87,199,90,61,9,38,5,18,4,1,0,1,1,18,0,0,1,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; Chr. Geref. Kerk,0160::SB32,,1682,1190,0,0,337,238,120,187,84,57,19,87,10,7,2,2,0,0,4,35,0,0,1,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; De Eiber,0160::SB34,,1810,1331,1,5,324,341,173,162,142,52,17,57,8,16,6,2,2,1,1,23,0,1,3,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; De Kiefer,0160::SB35,,1841,1425,2,2,413,352,128,174,133,60,16,93,11,18,6,2,0,0,1,15,0,0,1,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; Avondlicht,0160::SB36,,1439,1089,4,0,230,254,105,213,115,37,10,69,15,11,2,1,0,0,1,18,0,4,2,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dedemsvaart; Groen van Prinsterer,0160::SB37,,1394,1048,0,1,358,176,89,165,93,68,20,41,4,14,2,2,0,0,1,15,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Balkbrug; C.N.S.,0160::SB38,,1693,1339,0,4,394,308,104,181,90,73,8,110,26,16,2,1,1,1,0,20,0,0,1,3
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oud Avereest; O.B.S.,0160::SB39,,1127,746,0,2,282,122,60,86,34,33,10,43,45,12,1,1,0,0,3,10,1,0,2,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Baalderveld; 't Spectrum,0160::SB40,,1456,1298,1,0,219,280,57,204,108,72,13,276,26,18,4,2,0,0,2,16,0,0,0,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hardenberg; Gemeentehuis,0160::SB42,,1669,1421,4,1,288,344,85,278,111,53,16,170,22,16,2,3,0,0,0,30,0,0,1,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bruchterveld; Heujmansbelt,0160::SB45,,837,677,0,0,137,118,40,176,61,37,8,71,20,4,1,0,0,0,0,3,0,0,0,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bergentheim; 't Kruispunt,0160::SB46,,1114,1008,2,0,121,113,65,204,73,13,0,357,40,3,1,3,0,0,0,11,1,0,3,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Rheezerveen; Herv. Ver. Geb.,0160::SB47,,643,456,1,0,108,59,47,88,27,16,0,62,32,4,1,2,0,0,0,2,0,0,6,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Slagharen; Kronkelhonk,0160::SB48,,1265,901,1,2,248,210,120,146,73,29,7,16,5,8,2,3,0,0,1,28,0,0,2,3
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Baalder; De Kamp,0160::SB50,,1274,1121,3,1,225,220,67,176,91,58,26,204,17,10,7,2,0,0,1,17,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hoogenweg; Verenigingsgebouw,0160::SB51,,404,351,0,0,113,73,11,80,30,16,0,21,1,0,0,0,1,0,0,5,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bergentheim; De Bo,0160::SB52,,1302,922,3,0,170,96,56,152,57,29,4,304,23,10,2,4,0,0,1,13,1,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Lutten; Lutteresweg,0160::SB53,,545,385,2,0,67,66,36,110,31,7,6,37,7,4,0,2,0,0,0,7,0,0,5,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Baalderveld; De Wiekstee,0160::SB54,,1526,1034,1,3,236,205,67,142,76,46,19,192,20,14,1,0,0,0,0,14,0,0,0,2
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Baalder; Wijkcentrum,0160::SB55,,1272,928,3,1,127,219,80,107,99,38,20,181,22,12,4,4,0,0,1,10,0,0,3,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mariënberg; De Wingerd,0160::SB56,,926,776,1,1,119,74,39,156,35,22,5,268,53,3,0,0,0,0,0,2,0,0,0,0
