contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterschapspartij Hollandse Delta,CDA,Partij van de Arbeid (P.v.d.A.),Water Natuurlijk,VVD,Staatkundig Gereformeerde Partij (SGP),Hollandse Delta Natuurlijk,ChristenUnie,50PLUS,Trots op Nederland (TROTS),Inwonersbelang - AWP
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Muziekver. Harmonie Slikkerveer,0597::SB11,,1220,593,20,2,0,0,0,559,56,0,0,0,0,0,0,615,170,68,39,52,54,63,35,49,22,19,22
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Irenezaal,0597::SB12,,1435,744,0,0,0,0,0,744,0,0,0,0,0,0,0,744,170,82,52,62,102,128,18,69,16,20,25
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Boezemkerk,0597::SB13,,1458,278,4,1,0,0,0,256,27,0,0,0,0,0,0,283,86,24,23,26,16,31,5,30,19,9,9
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Wijkvoorzieningencentrum Bolnes,0597::SB14,,1885,810,22,8,0,0,0,760,81,0,1,0,1,0,0,841,262,73,80,53,81,42,36,53,63,31,36
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Sporthal De Beverbol,0597::SB15,,1524,714,24,10,0,0,0,689,59,0,0,0,0,0,0,748,241,55,91,66,46,34,25,23,57,38,38
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Kerk Bolnes,0597::SB16,,1536,633,22,2,0,0,0,600,57,0,0,0,0,0,0,657,195,50,56,45,64,28,25,33,51,27,59
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Jeugdgebouw De Korenbloem,0597::SB17,,535,294,4,0,0,0,0,247,47,0,0,4,0,0,0,294,74,17,18,15,23,109,7,20,6,3,2
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Dependance CBS De Klimop,0597::SB18,,1059,514,10,5,0,0,0,464,65,0,0,0,0,0,0,529,204,54,18,33,35,86,14,39,5,14,12
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Kerk Rijsoord,0597::SB19,,1376,737,10,1,0,0,0,646,103,0,0,0,1,0,0,749,274,71,12,46,81,156,20,45,10,10,12
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Cbs de Bongerd,0597::SB20,,1575,586,9,4,0,0,0,541,58,0,0,0,0,0,0,599,197,53,59,51,40,55,13,33,36,29,20
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Zorgcentrum Reijerheem,0597::SB21,,1160,504,8,3,0,0,1,479,35,0,0,0,0,0,0,515,149,50,66,53,24,35,21,35,23,25,23
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Verpleeghuis Salem,0597::SB22,,1161,536,13,5,0,0,0,484,70,0,0,0,0,0,0,554,139,55,28,18,55,124,18,60,12,13,14
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau 't Ronde Sant,0597::SB23,,1463,716,20,4,0,0,0,652,88,0,0,0,0,0,0,740,216,89,42,44,70,67,47,55,17,42,27
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Obs de Piramide,0597::SB24,,1127,429,5,2,0,0,1,377,56,0,0,2,0,0,0,434,89,37,35,27,32,112,13,35,16,18,15
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Maranathakerk,0597::SB25,,1629,646,15,4,0,0,0,592,73,0,0,0,0,0,0,665,149,47,38,49,42,137,25,92,22,19,26
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Ichthuskerk,0597::SB26,,2875,1032,21,13,0,1,0,962,108,0,3,0,4,0,0,1070,301,105,83,55,129,97,34,74,61,38,55
Hollandse Delta,Ridderkerk,AB2015_HollandseDelta,Algemeen bestuur van het waterschap Hollandse Delta 2015,,Hollandse Delta,2015-03-18,Stembureau Cbs De Klimop,0597::SB27,,1277,363,3,2,0,0,0,326,42,0,0,0,0,0,0,368,88,42,26,26,18,66,17,44,18,6,12
