contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Driemaster,0995::SB11,8225 AG,1834,573,9,14,0,0,0,549,47,0,0,0,0,0,0,596,262,29,42,75,56,44,13,52
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School Het Spectrum,0995::SB12,8225 MA,1517,602,17,7,0,0,0,577,49,0,0,0,0,0,0,626,252,39,50,54,70,40,12,85
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtcentrum De Brink,0995::SB13,8225 SX,1489,665,25,6,0,0,0,627,69,0,0,0,0,0,0,696,283,52,61,69,60,37,15,88
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Poolster,0995::SB14,8226 BA,1806,355,9,2,0,0,0,344,22,0,0,0,0,0,0,366,141,19,36,36,21,29,15,58
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School Driestromenland,0995::SB15,8226 KA,2216,880,20,10,0,0,0,815,95,0,0,0,0,0,0,910,389,55,68,81,73,74,19,121
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Apollo Hotel Lelystad,0995::SB16,8224 BZ,1327,387,6,0,0,0,0,363,30,0,0,0,0,0,0,393,164,28,40,36,42,25,2,50
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum Het Anker,0995::SB17,8231 BH,1584,901,15,8,11,0,0,827,86,0,0,11,0,0,0,913,365,70,105,114,89,61,21,76
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Boeier,0995::SB18,8242 VS,1356,850,6,4,0,0,0,766,94,0,0,0,0,0,0,860,359,53,74,96,153,29,10,76
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtcentrum De Dukdalf,0995::SB19,8242 EK,2253,698,18,12,0,0,0,728,0,0,0,0,0,0,0,728,280,46,59,65,62,44,15,127
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Albatros,0995::SB20,8242 AL,2156,821,12,17,0,0,0,753,97,0,0,0,0,0,0,850,326,43,76,85,194,19,8,70
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Dans- en Partycentrum Overeem,0995::SB21,8242 BA,1889,722,13,7,0,0,0,683,59,0,0,0,0,0,0,742,333,58,52,78,54,13,9,125
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kindcentrum Warande,0995::SB22,8245 AA,1177,476,10,2,0,0,0,423,65,0,0,0,0,0,0,488,214,12,50,39,111,27,5,18
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Woonzorgcentrum Hanzeborg,0995::SB23,8232 DC,2268,900,25,12,0,0,2,844,91,0,0,0,0,0,0,937,370,79,83,90,80,39,13,146
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum 't Lichtschip,0995::SB24,8243 BW,1714,727,14,7,0,0,0,682,66,0,0,0,0,0,0,748,292,47,83,75,78,43,16,93
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Toermalijn,0995::SB25,8243 LR,1718,578,12,8,0,1,0,542,55,0,0,1,0,0,0,597,235,58,48,56,54,34,8,85
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum Petruskerk,0995::SB26,8243 KA,1562,639,13,3,0,0,0,585,70,0,0,0,0,0,0,655,261,25,75,88,52,28,12,98
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Tjalk,0995::SB27,8232 LT,1625,647,18,2,0,0,0,605,62,0,0,0,0,0,0,667,246,40,58,70,81,44,7,101
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Triangel,0995::SB28,8243 KW,1649,643,11,8,0,2,0,594,66,0,0,2,0,0,0,660,259,58,62,68,95,27,14,60
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Buurtcentrum De Windhoek,0995::SB29,8244 BJ,1370,764,19,10,0,12,0,722,59,0,0,12,0,0,0,781,338,49,58,77,74,41,5,122
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Tennispark I.T.L.,0995::SB30,8243 MX,736,383,7,3,0,10,0,353,50,0,0,0,10,0,0,403,136,25,35,54,74,18,7,34
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Tjotter,0995::SB31,8245 ER,2060,1053,11,8,0,1,0,960,111,0,0,1,0,0,0,1071,376,56,132,117,214,51,18,89
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Groenhorst College,0995::SB32,8232 MB,1181,559,11,3,0,0,0,509,64,0,0,0,0,0,0,573,216,30,76,42,85,29,12,69
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Lispeltuut,0995::SB33,8226 TA,1933,726,11,4,0,0,0,655,86,0,0,0,0,0,0,741,272,52,74,68,136,39,16,69
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Stadhuis Lelystad,0995::SB34,8232 ZX,863,682,0,0,0,0,1,649,56,0,0,0,24,0,0,706,286,57,64,60,75,33,4,103
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau Kerkcentrum Lichtbron,0995::SB35,8226 TA,1274,831,17,9,0,0,0,773,84,0,0,0,0,0,0,857,271,57,94,55,169,80,19,86
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Meander (M.O),0995::SB36,8219 AT,1415,493,11,5,0,0,0,447,62,0,0,0,0,0,0,509,146,30,66,41,137,30,15,28
Zuiderzeeland,Lelystad,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,Stembureau School De Sluis,0995::SB37,8244 AE,1371,340,2,2,0,0,0,311,33,0,0,0,0,0,0,344,133,29,30,28,65,16,3,36
