contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis In d'n Haammaeker,1640::SB11,6086 BH,1477,685,27,5,0,0,0,643,74,0,0,0,0,0,0,717,482,23,3,109,7,42,19
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Eetcafé De Valk,1640::SB12,6081 BA,1828,594,38,8,0,0,0,588,52,0,0,0,0,0,0,640,387,8,2,103,11,44,39
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Trefcentrum Aldenghoor,1640::SB13,6081 AN,1698,664,43,11,0,0,0,641,77,0,0,0,0,0,0,718,414,13,9,134,9,46,39
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Postkoets,1640::SB14,6085 AG,1661,689,51,9,0,3,0,660,92,0,0,0,3,0,0,752,431,22,8,125,6,71,26
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Hotel-Restaurant De Abdij,1640::SB15,6085 BA,1525,619,22,1,0,0,0,562,80,0,0,0,0,0,0,642,422,11,3,87,4,48,44
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis De Roffert,1640::SB16,6082 AM,774,318,20,2,0,0,0,305,35,0,0,0,0,0,0,340,204,10,6,46,3,23,26
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis St. Servaas,1640::SB17,6083 AK,568,278,9,8,0,0,0,265,30,0,0,0,0,0,0,295,160,5,4,59,8,23,19
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Parochiehuis Hunsel,1640::SB18,6013 RK,783,379,13,3,0,0,0,359,36,0,0,0,0,0,0,395,277,8,3,38,4,40,9
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Ellenhof,1640::SB19,6011 RE,1144,586,20,3,0,0,0,546,63,0,0,0,0,0,0,609,448,13,3,66,8,25,23
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Café De Heerlijckheid,1640::SB20,6015 AS,1060,376,14,3,0,0,0,349,44,0,0,0,0,0,0,393,249,2,1,81,4,12,27
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Cultureel Centrum de Mortel,1640::SB21,6014 EL,1442,563,19,8,0,0,0,538,52,0,0,0,0,0,0,590,315,13,2,154,5,43,31
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,"Stembureau Ons Dorpshuis, Café bie Winy",1640::SB22,6012 RJ,415,181,1,1,0,0,0,163,20,0,0,0,0,0,0,183,145,3,1,17,2,6,7
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Mobiel stembureau,1640::SB23,,0,114,5,1,0,0,0,104,16,0,0,0,0,0,0,120,85,11,5,5,0,3,5
