contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,"Water, Wonen en Natuur",Werk aan Water,CDA,Algemene Waterschapspartij,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Verpleegh. Talmahof, Genemuidenstr 4",0171::SB11,,1356,578,9,3,0,0,0,536,54,0,0,0,0,0,0,590,153,115,85,24,86,48,37,30
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau OJS de Zevensprong, Ellertsveld 15",0171::SB12,,2009,921,3,17,0,0,0,854,86,0,0,1,0,0,1,940,272,136,160,40,128,114,32,39
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Buurthuis De Erven,Amstelland 2",0171::SB13,,1798,1136,19,5,0,0,0,1052,108,0,0,0,0,0,0,1160,264,210,194,33,163,142,76,54
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Dorpshuis de Bosfluiter, Amazonestr 46",0171::SB20,,1486,586,3,6,0,0,0,545,50,0,0,0,0,0,0,595,60,328,53,16,58,12,38,21
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Verz.huis Markehof,Walcherselaan 2",0171::SB21,,1494,685,18,6,0,0,0,651,58,0,0,0,0,0,0,709,152,177,129,21,63,78,30,35
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau CBS De Zeester, Noordzoom 119",0171::SB22,,1427,755,6,9,0,0,0,698,71,0,0,1,0,1,0,769,141,256,115,31,81,59,43,29
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Prot.centrum, Voorstraat 21",0171::SB23,,1124,596,15,7,0,0,0,576,42,0,0,0,0,0,0,618,97,156,82,22,149,35,23,32
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Steunpunt Ouderen, Baanhoek 21",0171::SB24,,1133,566,6,2,0,0,0,513,61,0,0,0,0,0,0,574,84,186,64,68,85,31,30,18
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau CBS het Lichtschip, Ingang EP Seidelstr.",0171::SB25,,1141,521,3,9,0,0,2,482,49,0,0,0,0,0,0,533,96,126,64,74,48,67,21,25
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Museum Nagele, Ring 23",0171::SB26,,1466,695,10,7,0,0,0,644,67,0,0,1,0,1,0,711,147,224,66,29,107,42,37,43
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau RK.parochiehuis, Vossenburcht 17",0171::SB27,,1631,828,2,1,0,0,0,714,117,0,0,0,0,0,0,831,46,312,118,15,52,102,167,16
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau MFC Mozaïek, Westerrand 42-44",0171::SB28,,1052,588,3,6,0,0,0,540,54,0,0,3,0,3,0,594,55,307,66,7,59,26,51,17
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Ontmoetingskerk, Galamalaan 35",0171::SB29,,1236,623,10,4,0,0,0,584,53,0,0,0,0,0,0,637,63,286,74,19,87,40,31,23
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Gymzaal de Kwartslag, Venelaan 3",0171::SB30,,1236,622,8,7,0,0,0,591,46,0,0,0,0,0,0,637,39,432,27,10,76,17,9,12
Zuiderzeeland,Noordoostpolder,AB2015_Zuiderzeeland,Algemeen bestuur van het waterschap Zuiderzeeland 2015,,Zuiderzeeland,2015-03-18,"Stembureau Bantsiliek , Zuidwend 2",0171::SB31,,1013,508,7,0,0,1,0,461,55,0,0,0,1,0,0,516,66,218,65,17,78,30,12,22
