contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Mafcentrum,1894::SB11,5993 CC,2059,778,40,10,0,0,0,713,115,0,0,0,0,0,0,828,21,303,7,304,32,91,20
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sociëteit 't Hofje,1894::SB12,5993 EL,1644,698,32,2,0,0,0,648,84,0,0,0,0,0,0,732,27,300,8,274,25,48,16
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum Ter Borcht,1894::SB13,5991 AN,2039,833,45,6,0,0,0,769,107,0,0,8,0,8,0,876,31,261,19,254,42,195,31
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Basisschool Panta Rhei,1894::SB14,5991 BN,1472,593,29,7,0,0,1,567,61,0,0,0,0,0,0,629,13,169,14,217,44,108,28
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Sporthal de Kazing,1894::SB15,5991 PX,1801,723,39,5,0,0,0,677,90,0,0,0,0,0,0,767,22,222,20,238,61,137,23
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis de Paort,1894::SB16,5995 BB,1217,537,47,7,0,0,0,521,70,0,0,0,0,0,0,591,32,213,5,192,23,53,19
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Woonzorgcomplex Hof van Kessel,1894::SB17,5995 XZ,1583,574,35,5,1,0,0,542,73,0,0,0,1,0,0,615,45,237,20,186,12,52,22
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Kessel-Eik,1894::SB18,5995 NM,633,262,15,1,0,0,0,243,34,0,0,1,0,1,0,277,44,115,1,63,9,11,19
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum Sint Jozef,1894::SB19,5768 AW,1817,450,35,4,0,0,0,442,47,0,0,0,0,0,0,489,97,218,0,64,7,27,37
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis d'n Binger,1894::SB20,5768 BE,1673,799,43,7,0,0,0,757,92,0,0,0,0,0,0,849,104,452,4,119,8,67,45
Peel en Maasvallei,Peel en Maas,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Oranjehotel,1894::SB21,5768 AR,1487,532,28,2,0,0,0,484,78,0,0,0,0,0,0,562,56,312,5,92,10,27,30
