contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis 't Schanshuus,0056::SB11,9842 PE,366,224,1,0,0,0,0,209,16,0,0,0,0,0,0,225,48,15,52,12,35,27,9,14,1,11
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau De Meeden,0056::SB12,9831 RD,769,506,3,6,0,0,0,476,39,0,0,0,0,0,0,515,96,56,89,52,124,36,8,8,1,36
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau 't Hoge Hof,0056::SB13,9831 RZ,971,526,9,3,0,0,0,509,30,0,0,0,1,0,0,539,105,55,111,43,107,28,14,24,5,34
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Den Ham,0056::SB14,9833 PB,208,109,3,0,0,0,0,106,6,0,0,0,0,0,0,112,20,12,31,6,15,17,1,1,0,6
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Hornhuis,0056::SB15,9832 PD,339,182,6,1,0,0,0,163,26,0,0,0,0,0,0,189,47,22,30,2,19,42,1,5,3,11
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Humsterland,0056::SB16,9883 PE,1112,665,12,1,0,0,0,620,58,0,0,0,0,0,0,678,95,53,111,61,211,60,14,24,7,29
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Eisseshof,0056::SB17,9884 PC,200,141,1,0,0,0,0,129,13,0,0,0,0,0,0,142,36,19,28,7,24,13,2,2,2,8
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis Heralmahuus,0056::SB18,9886 PG,129,82,0,0,0,0,0,77,5,0,0,0,0,0,0,82,18,13,13,5,8,14,4,2,0,5
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Dorpshuis De Vrijwilliger,0056::SB19,9885 PC,28,23,0,0,0,0,0,22,1,0,0,0,0,0,0,23,10,0,5,2,2,3,0,0,0,1
Noorderzijlvest,Zuidhorn,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau Steak- en Partyhouse André Dokter,0056::SB20,9805 TD,1236,1004,15,2,0,0,0,920,101,0,0,0,0,0,0,1021,203,131,151,37,238,113,34,48,10,39
