contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,Algemene Waterschapspartij,50PLUS
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Woon-zorgcentrum Reestoord,0119::SB12,,892,388,9,1,0,0,0,360,38,0,0,0,0,0,0,398,70,47,63,44,35,94,35
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Woon-zorgcentrum A.B.C.,0119::SB13,,1327,671,13,5,0,0,0,639,50,0,0,0,0,0,0,689,117,101,69,120,86,129,49
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Sporthal Koedijkslanden,0119::SB14,,1570,611,16,1,0,0,0,583,45,0,0,0,0,0,0,628,84,96,129,42,56,145,59
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,"Stembureau MFK ""Het Palet"" (hoofdingang)",0119::SB16,,1438,772,5,2,1,0,0,715,65,0,0,0,1,0,0,780,99,123,129,89,92,171,69
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Wijkcentrum Oosterboer,0119::SB17,,1099,661,7,9,0,0,0,626,51,0,0,0,0,0,0,677,94,100,101,109,66,153,38
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Het Erf (H. van Boeijen),0119::SB18,,1062,537,4,3,0,0,1,492,51,0,0,0,0,0,0,544,74,77,79,118,47,109,33
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau School 2 Sprong,0119::SB19,,883,500,11,2,0,0,0,477,36,0,0,0,0,0,0,513,76,69,69,84,42,110,50
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Verpleeghuis Reggersoord,0119::SB20,,367,182,1,2,0,0,0,169,16,0,0,0,0,0,0,185,28,27,26,64,8,18,11
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Clubhuis Blue Devils,0119::SB21,,1663,815,8,3,0,0,0,740,86,0,0,0,0,0,0,826,81,115,106,182,107,190,34
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Mobiel Stembureau,0119::SB22,,0,139,9,4,0,0,0,142,10,0,0,0,0,0,0,152,12,25,15,21,16,43,7
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Woon-zorgcentrum Het Kerspel,0119::SB30,,1364,721,8,6,0,0,0,672,63,0,0,0,0,0,0,735,201,83,83,150,44,121,39
Reest en Wieden,Meppel,AB2015_ReestenWieden,Algemeen bestuur van het waterschap Reest en Wieden 2015,,Reest en Wieden,2015-03-18,Stembureau Dorpshuis De Schalle,0119::SB31,,1483,744,17,2,0,0,0,699,64,0,0,0,0,0,0,763,225,112,57,138,42,138,32
