contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Algemene Waterschapspartij,Partij voor de Dieren,50PLUS
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau OBS De Oleander,0037::SB12,9501 VX,1533,653,9,5,0,0,0,599,68,0,0,0,0,0,0,667,87,91,105,77,92,125,36,40
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Gebouw Ons Huis,0037::SB13,9501 GA,1460,450,0,15,0,0,0,465,0,0,0,0,0,0,0,465,59,66,70,26,35,96,42,56
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Westerschool,0037::SB14,9501 XC,695,283,4,5,0,0,0,264,28,0,0,0,0,0,0,292,53,21,39,20,26,63,25,36
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""De Stobbe""",0037::SB15,9581 GK,735,239,2,9,0,0,0,230,20,0,0,0,0,0,0,250,48,31,25,7,18,49,30,31
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Parochiehuis,0037::SB16,9581 JD,1239,380,3,3,0,0,0,349,37,0,0,0,0,0,0,386,62,35,93,37,27,46,25,55
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""Musselhorst""",0037::SB17,9581 CZ,1379,519,6,7,0,0,0,475,57,0,0,0,0,0,0,532,68,68,97,23,35,92,50,86
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau MFA ""Lint""",0037::SB18,9581 DG,1534,594,12,4,0,0,0,552,59,0,1,0,1,0,0,611,91,75,173,23,50,63,39,80
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""A-Horst"" Zorgcentrum",0037::SB19,9581 EN,1095,475,9,1,0,0,0,449,36,0,0,0,0,0,0,485,52,60,125,78,28,69,20,43
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Chr Gereformeerde Kerk  Mussel,0037::SB20,9584 AS,1188,701,5,2,0,0,0,660,48,0,0,0,0,0,0,708,33,25,164,12,318,85,29,35
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau d'Ekkelkaamp,0037::SB21,9591 AH,1195,609,3,4,0,0,0,551,65,0,0,0,0,0,0,616,59,23,257,31,130,31,44,34
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,Stembureau Brinkhof Dorpsstraat 3A,0037::SB22,9591 AR,1072,735,5,2,0,0,0,679,63,0,0,0,0,0,0,742,52,24,337,16,215,40,28,23
Hunze en Aa's,Stadskanaal,AB2015_HunzeenAas,Algemeen bestuur van het waterschap Hunze en Aa's 2015,,Hunze en Aa's,2015-03-18,"Stembureau ""De Drijscheer""",0037::SB23,9661 TV,956,436,3,1,0,0,0,391,49,0,0,0,0,0,0,440,70,92,88,31,40,44,36,35
