contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Dorpshuis Oudemolen, Oudemolen",1730::SB11,9484 TA,456,315,0,0,0,1,0,284,30,0,1,0,0,0,314,59,35,19,12,9,29,15,56,10,6,29,27,9,0,0,0
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau MFA De Zeijer Hoogte, Zeijen",1730::SB12,9491 AA,584,404,2,0,0,0,0,371,35,0,0,0,0,0,406,83,59,20,23,12,23,22,62,9,13,48,17,9,0,1,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Dorpshuis Klein Kruierij, De Groeve",1730::SB13,9473 TL,375,214,0,0,0,0,0,195,19,0,0,0,0,0,214,28,22,11,11,20,13,16,28,9,4,31,9,11,1,0,0
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau CBS De Tol, Zuidlaren",1730::SB14,9472 WH,1459,878,0,2,0,0,0,815,65,0,0,0,0,0,880,118,127,70,39,32,103,67,152,25,21,53,37,29,0,2,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Brasserie 't Hof van Zuidlaren, Zuidlaren",1730::SB15,9471 AR,1232,728,2,2,0,0,0,676,56,0,0,0,0,0,732,114,87,67,38,39,45,64,61,32,14,98,26,40,0,1,2
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Sporthal De Zwet, Zuidlaren",1730::SB16,9472 RN,1273,935,2,0,0,0,0,869,68,0,0,0,0,0,937,113,134,81,66,41,73,66,135,38,17,99,43,20,0,5,4
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau GKv Kandelaarskerk, Zuidlaren",1730::SB17,9471 PR,1312,801,1,2,0,0,0,761,43,0,0,0,0,0,804,70,97,109,46,27,38,153,108,15,13,68,23,23,1,7,3
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Mozaiek Woonzorgcentrum, Zuidlaren",1730::SB18,9471 JD,1451,900,5,3,0,1,0,831,78,0,0,1,0,0,909,144,107,122,43,19,83,89,102,26,14,74,42,26,0,3,6
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Waterpark De Bloemert, Mildaren",1730::SB19,9475 TG,273,194,0,0,0,0,0,177,17,0,0,0,0,0,194,36,30,7,6,4,27,10,36,2,5,10,17,3,0,1,0
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Dorpshuis De Zaandorre, Zuidlaarderveen",1730::SB20,9474 PD,245,157,0,1,1,0,0,141,18,0,0,1,0,0,159,31,19,7,5,7,5,15,27,4,3,15,11,8,0,0,0
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Gemeentehuis, Vries",1730::SB21,9481 AW,1195,569,1,0,0,0,1,518,51,0,0,0,0,0,570,90,78,38,20,23,49,41,68,13,18,65,22,40,0,3,1
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Openbare Bibliotheek, Eelde",1730::SB22,9761 BA,1462,918,6,1,0,0,0,838,87,0,0,0,0,0,925,112,198,48,45,45,80,38,139,37,23,98,19,27,0,2,7
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau OBS De Westerburcht (unit), Eelde",1730::SB23,9761 HJ,1248,694,0,0,0,0,0,638,56,0,0,0,0,0,694,90,116,28,39,21,75,33,139,23,17,58,24,28,0,2,1
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau De Synagoge, Zuidlaren",1730::SB24,9471 KJ,1332,882,2,0,1,0,1,813,69,0,1,0,0,0,883,179,122,101,31,21,71,72,105,34,21,72,24,20,0,2,7
,Tynaarlo,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau MFA Borchkwartier (2), Eelderwolde",1730::SB25,9766 PP,1033,580,0,0,0,1,0,514,65,0,1,0,0,0,579,135,61,26,3,8,121,29,112,8,11,30,17,15,1,2,1
