contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Talamander,1942::SB15,1402RW	,1573,738,4,0,0,0,0,666,76,0,0,0,0,0,742,101,71,61,53,42,39,102,55,41,5,1,11,117,8,31
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Julianaschool,1942::SB16,1403BE	,1831,1039,2,0,0,1,0,945,97,0,0,1,0,0,1042,247,111,85,34,32,82,150,59,38,2,3,6,140,1,49
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Gooise Warande,1942::SB17,1403BR	,1597,556,2,1,0,0,0,509,50,0,0,0,0,0,559,102,52,54,21,11,47,73,51,25,1,0,6,79,6,28
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Trefpunt,1942::SB18,1402CC	,1785,1242,12,2,0,0,0,1156,100,0,0,0,0,0,1256,160,108,123,79,41,131,171,68,64,14,3,9,171,12,88
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Breeduit,1942::SB19,1403NH	,1582,772,2,3,0,0,0,720,57,0,0,0,0,0,777,88,46,62,73,53,40,117,49,40,4,9,11,116,22,42
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Zorgcentrum De Antonius Hof,1942::SB20,1403NL	,1477,662,2,3,0,0,0,626,41,0,0,0,0,0,667,51,38,62,43,48,37,88,47,47,9,3,6,127,18,38
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau GGD Gooi en Vechtstreek,1942::SB21,1404GZ	,1524,739,5,1,0,1,1,679,66,0,0,1,0,0,746,146,116,65,22,25,48,116,36,28,3,0,6,99,2,27
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Spiegelwijck,1942::SB22,1406RG	,1612,1041,3,0,0,0,0,952,94,2,0,2,0,0,1046,307,127,82,41,28,73,122,47,34,16,0,12,96,2,54
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Koningin Emmaschool,1942::SB23,1405BT	,1366,1038,3,2,0,0,2,876,165,0,0,0,0,0,1043,401,192,80,8,8,82,94,38,11,2,0,8,83,0,31
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Willem de Zwijger College,1942::SB24,1405HM	,1613,1249,2,2,0,3,3,1088,159,0,3,0,0,0,1250,463,171,100,21,23,106,118,55,23,3,2,7,121,0,36
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Evangelisch-Lutherse Kerk,1942::SB25,1404BJ	,905,586,1,2,0,0,0,587,2,0,0,0,0,0,589,168,133,46,11,5,40,70,19,2,3,2,6,55,0,26
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Kazerne,1942::SB26,1398AN	,1038,770,3,0,0,1,0,675,97,0,1,0,0,0,772,135,86,57,21,20,116,94,33,27,4,1,35,116,0,25
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau P.C. Hooftschool,1942::SB27,1398XG	,1510,861,3,6,0,2,0,782,86,0,2,0,0,0,868,126,94,96,50,53,66,112,48,29,5,0,12,137,14,19
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Oranje Nassauschool,1942::SB28,1399VJ	,1123,783,0,1,0,0,0,707,77,0,0,0,0,0,784,163,123,74,24,22,77,133,37,19,3,1,11,81,0,15
Haarlem,Gooise Meren,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau De Rijver,1942::SB29,1399HH	,1259,844,0,1,0,0,1,761,83,0,0,0,0,0,845,172,126,91,33,31,53,127,43,33,3,0,3,107,0,22
