contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurthuis de Brulboei,0171::SB10,8304 DZ,1271,811,2,2,0,0,0,0,0,0,0,0,0,0,0,60,80,127,85,28,71,82,44,53,15,27,2,6,4,119,8
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Verpleeghuis Talmahof,0171::SB11,8304 GC,1278,663,5,0,0,0,0,0,0,0,0,0,0,0,0,91,43,141,44,20,43,71,23,33,15,23,3,3,4,103,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Openbare Jenaplanschool De Zevensprong,0171::SB12,8302 JD,1984,1119,2,2,0,0,0,0,0,0,0,0,0,0,0,152,63,245,55,55,78,155,36,63,28,34,1,2,3,147,2
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Buurthuis De Erven,0171::SB13,8302 NM,1749,1326,4,2,0,0,0,0,0,0,0,0,0,0,0,200,71,281,53,43,87,178,33,64,41,67,4,2,5,196,1
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Poldertoren,0171::SB14,8302 PT,0,713,2,0,0,0,0,0,0,0,0,0,0,0,0,97,36,100,51,33,49,99,17,56,23,38,1,7,2,101,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Verenigingsgebouw de Bosfluiter,0171::SB20,8315 AV,1159,700,1,0,0,0,0,0,0,0,0,0,0,0,0,110,35,217,39,25,34,41,23,26,14,35,2,0,1,93,5
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Verzorgingshuis Markehof,0171::SB21,8316 NJ,1486,857,0,2,0,0,0,0,0,0,0,0,0,0,0,125,50,229,46,24,40,82,47,52,14,28,3,1,4,109,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau CBS De Zeester,0171::SB22,8316 ZG,1371,911,2,3,0,0,0,0,0,0,0,0,0,0,0,100,71,217,54,30,65,74,30,67,20,41,4,1,11,122,4
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau PKN kerk Kraggenburg,0171::SB23,8317 AG,1089,682,17,1,0,0,0,0,0,0,0,0,0,0,0,104,40,125,47,41,53,60,13,65,22,36,1,0,2,70,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Steunpunt Ens,0171::SB24,8307 BJ,1183,640,5,1,0,0,0,0,0,0,0,0,0,0,0,107,41,145,28,16,23,38,29,34,25,55,0,2,2,94,1
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau CBS Het Lichtschip,0171::SB25,8307 AW,1100,704,1,4,0,0,0,0,0,0,0,0,0,0,0,76,74,127,48,16,26,79,15,53,15,38,1,0,3,128,5
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Museum Nagele,0171::SB26,8308 AL,1326,827,3,0,0,0,0,0,0,0,0,0,0,0,0,173,72,148,31,34,32,54,22,73,18,50,1,0,2,114,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau RK Parochiezaal Tollebeek,0171::SB27,8309 AG,1622,1126,0,2,0,0,0,0,0,0,0,0,0,0,0,104,108,212,33,14,28,154,10,22,8,227,8,1,3,192,2
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau M.F.C. 't Mozaïek Espel,0171::SB28,8311 AN,1022,671,0,3,0,0,0,0,0,0,0,0,0,0,0,113,45,167,38,14,16,70,18,15,7,62,1,1,5,96,3
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Ontmoetingskerk,0171::SB29,8312 AS,1149,719,2,1,0,0,0,0,0,0,0,0,0,0,0,116,55,176,31,32,21,89,21,33,15,27,2,4,1,94,2
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Cultureelcentrum De Stiepe,0171::SB30,8313 AB,1236,782,4,1,0,0,0,0,0,0,0,0,0,0,0,123,47,214,45,26,41,52,17,38,19,20,2,2,4,131,1
,Noordoostpolder,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Bantsiliek,0171::SB31,8314 AA,1018,644,0,0,0,0,0,0,0,0,0,0,0,0,0,105,47,137,36,63,37,43,9,27,8,24,3,0,3,101,1
