contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),ChristenUnie,50PLUS,GROENLINKS,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT,DENK,Respect!,Forum voor Democratie,OPA
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Basisschool Het Kompas,0303::SB11,8252 GJ,1636,921,1,1,0,0,0,850,73,0,0,0,0,0,923,168,37,160,51,60,63,121,32,75,43,13,2,0,1,89,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Dorpshuis De Steiger,0303::SB12,8255 DM,1402,861,3,4,0,0,0,787,81,0,0,0,0,0,868,142,79,161,61,20,35,44,30,55,29,13,1,4,6,174,7
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Kerkcentrum De Hoeksteen,0303::SB13,8255 AA,1371,921,2,1,0,0,0,843,81,0,0,0,0,0,924,192,89,144,59,27,46,50,54,42,14,12,1,2,1,182,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Basisschool De Duykeldam,0303::SB14,8255 AR,2005,1039,1,2,0,0,0,920,122,0,0,0,0,0,1042,154,125,93,84,54,72,53,51,71,40,17,1,0,6,212,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Het Koetshuis,0303::SB15,8256 BD,1390,1196,1,5,0,0,0,1076,126,0,0,0,0,0,1202,206,111,157,69,38,64,91,56,92,39,36,1,5,5,220,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Mimar Sinan Moskee,0303::SB16,8256 BX,1336,604,0,1,0,0,0,531,74,0,0,0,0,0,605,80,46,70,38,25,25,31,21,69,23,18,5,19,2,123,9
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Kerkcentrum De Voorhof,0303::SB17,8256 BK,1840,967,2,2,0,0,0,877,94,0,0,0,0,0,971,172,82,166,49,24,40,84,33,89,24,18,0,12,1,165,8
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Basisschool De Klimboom,0303::SB18,8253 EA,1860,600,0,0,0,0,0,514,85,0,1,0,1,0,599,128,25,103,33,35,24,71,17,60,14,5,1,1,1,77,5
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau Sportzaal De Beurs,0303::SB19,8253 EA,1420,1056,2,0,0,0,0,924,134,0,0,0,0,0,1058,211,56,144,44,48,54,117,37,97,31,12,8,17,4,170,6
,Dronten,PS2019_Flevoland,Provinciale Staten Flevoland 2019,,Flevoland,2019-03-20,Stembureau De Meerpaal,0303::SB20,8251 EX,990,812,2,0,0,1,1,743,69,0,1,0,0,0,813,132,57,159,46,37,66,83,25,52,15,15,2,11,2,106,4
