contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Humanitas Akropolis,0599::SB14,3054 RL,1047,738,1,2,0,3,0,683,61,0,0,3,0,0,744,144,68,68,58,55,25,4,30,56,23,48,12,2,3,142
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Huis van de Wijk Schiemond,0599::SB15,3029 CL,2054,551,4,13,0,1,0,479,88,0,1,0,0,0,567,13,47,16,7,73,33,2,9,40,20,12,213,33,0,33
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Spartastadion,0599::SB16,3027 VW,2475,715,0,3,0,0,0,590,128,0,0,0,0,0,718,28,29,59,19,67,50,4,30,88,26,8,249,25,5,28
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Vrije Ban,0599::SB17,3037 VZ,1663,554,1,7,0,2,0,509,55,0,0,2,0,0,564,53,18,72,5,48,24,1,21,120,40,13,85,22,1,31
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Bibliotheek,0599::SB20,3011 PV,1995,1362,7,4,0,2,0,1260,115,0,0,2,0,0,1375,317,56,236,33,113,40,1,36,235,73,16,27,8,5,166
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Pluspunt,0599::SB21,3065 GA,2389,1159,1,1,0,3,0,1020,144,0,0,3,0,0,1164,236,62,114,65,103,41,13,38,113,40,51,25,5,1,252
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Huis van de Wijk Mozaïek,0599::SB22,3035 CG,1764,497,2,6,0,0,0,458,47,0,0,0,0,0,505,44,30,50,5,54,28,1,12,81,38,16,76,9,2,51
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau STC-SafePort,0599::SB23,3016 DH,1072,655,0,4,0,0,0,583,76,0,0,0,0,0,659,211,17,126,25,47,9,4,11,82,27,12,6,0,4,74
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal Noorderhavenkade,0599::SB24,3038 XG,1648,989,3,3,0,0,0,919,76,0,0,0,0,0,995,135,35,162,34,82,44,6,26,217,85,21,11,10,4,117
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB25,3036 WC,2394,838,2,31,1,0,0,724,148,0,0,1,0,0,872,44,34,70,7,62,37,2,15,143,45,23,239,47,2,68
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB27,3014 TP,791,323,2,7,0,0,0,280,52,0,0,0,0,0,332,9,17,24,5,37,18,0,4,46,18,8,103,14,2,18
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB29,3028 CH,3227,420,1,11,0,1,0,391,40,0,1,0,0,0,431,22,39,31,11,44,28,3,16,59,28,24,50,8,1,56
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Th.W. Termaathuis,0599::SB30,3062 SJ,1018,747,1,4,0,3,1,649,105,0,0,3,0,0,755,367,12,119,40,27,8,6,10,49,29,9,1,0,0,70
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Jan van der Ploeghuis,0599::SB31,3036 PD,2330,847,3,9,0,2,0,735,126,0,0,2,0,0,861,71,46,82,16,69,52,5,12,122,56,25,191,38,1,61
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Oosterkapel,0599::SB32,3065 AC,1499,1050,4,14,1,0,0,927,140,0,1,0,0,0,1067,361,32,147,68,69,15,7,28,126,40,13,3,1,2,138
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Rotterdamse Schouwburg,0599::SB33,3012 CL,2452,1060,3,4,0,0,0,993,74,0,0,0,0,0,1067,204,43,138,26,99,47,6,16,202,78,35,18,8,4,136
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dorpskerk,0599::SB34,3151 AD,1295,721,0,1,0,1,0,647,76,0,0,1,0,0,723,75,100,40,57,47,51,11,31,20,37,48,5,2,2,195
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Pluspunt,0599::SB35,3065 GA,1835,1058,2,8,0,2,0,953,117,0,0,2,0,0,1070,175,72,96,63,99,36,11,34,84,53,59,14,4,2,256
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Scheepsbrug,0599::SB36,3011 XZ,1840,842,3,1,0,0,0,780,66,0,0,0,0,0,846,215,32,164,31,79,30,1,16,111,32,20,4,1,0,106
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wooncomplex De Sevencamp,0599::SB37,3069 XZ,2166,802,0,5,0,1,0,715,93,0,0,1,0,0,808,73,97,40,36,95,61,10,31,69,31,69,16,3,4,167
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB38,3014 VG,1596,486,5,8,0,0,0,420,79,0,0,0,0,0,499,26,15,40,10,46,26,2,7,67,22,12,157,25,6,25
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal Snelleman,0599::SB39,3035 VL,2465,811,1,21,0,0,0,738,95,0,0,0,0,0,833,54,51,75,14,68,60,4,21,129,71,23,129,28,4,80
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Pompgebouw De Esch,0599::SB40,3063 HC,3144,854,0,4,0,1,0,789,70,0,0,1,0,0,859,113,53,107,29,91,57,4,26,107,61,44,29,9,4,120
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB41,3069 XJ,1334,615,1,6,0,0,0,556,66,0,0,0,0,0,622,68,50,53,22,58,35,4,26,69,34,49,8,1,4,134
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Buurvrouw (v.h. LCC Castagnet),0599::SB43,3053 LG,2293,938,1,2,0,4,0,856,89,0,0,4,0,0,945,157,28,176,59,75,36,3,25,170,70,28,8,1,2,100
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Ontmoetingscentrum Prinsenhof,0599::SB44,3066 BH,1844,931,1,5,0,0,1,850,86,0,0,0,0,0,937,96,105,58,52,79,58,9,29,94,49,81,16,3,3,199
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Noen,0599::SB45,3034 SL,2618,1165,7,5,0,2,0,1035,144,0,0,2,0,0,1179,132,76,169,38,78,51,3,30,181,81,28,115,53,6,124
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Parkflat Arcadia,0599::SB46,3054 TC,1329,696,0,3,0,0,0,622,77,0,0,0,0,0,699,146,63,49,35,43,32,7,29,53,38,36,19,13,0,133
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Clubhuis De Branding,0599::SB47,3034 CS,1762,728,1,10,0,0,0,642,97,0,0,0,0,0,739,36,77,42,5,62,43,2,19,87,29,15,203,45,3,60
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Prinsekerk,0599::SB48,3039 NC,1517,1007,6,1,0,4,1,943,74,0,0,4,0,0,1018,136,17,183,20,98,39,2,53,259,88,19,9,3,3,78
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Hoppesteyn,0599::SB49,3034 CA,2547,886,1,6,0,0,0,786,107,0,0,0,0,0,893,82,121,66,19,90,48,10,31,96,48,40,78,22,8,127
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau BS Albert Plesman,0599::SB51,3068 BS,1001,891,1,5,0,3,0,782,118,0,0,3,0,0,900,119,108,46,56,80,43,9,34,67,41,50,12,9,2,215
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Schiehoven,0599::SB52,3052 JA,2262,602,2,5,0,0,0,553,56,0,0,0,0,0,609,29,64,26,12,80,32,4,26,64,24,45,101,11,2,82
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sportcentrum De Wilgenring,0599::SB53,3052 KV,1112,470,0,2,0,1,0,414,57,0,1,0,0,0,471,53,31,40,19,48,21,3,24,61,15,35,32,11,1,76
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Woonzorgcentrum Laurens de Schans,0599::SB55,3026 VP,1499,776,4,11,0,1,0,706,86,0,0,1,0,0,792,52,25,112,23,93,39,2,21,147,49,22,124,13,1,53
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Stadsarchief,0599::SB56,3032 CG,2254,906,3,4,0,0,0,828,85,0,0,0,0,0,913,165,51,82,25,89,45,4,21,143,62,29,40,24,3,123
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Serviceflat Rehoboth,0599::SB60,3066 NM,1536,819,4,3,0,0,0,753,73,0,0,0,0,0,826,56,71,38,40,72,52,121,37,53,30,44,13,4,0,188
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Open Hofkerk,0599::SB61,3069 EA,2386,1492,9,11,0,0,0,1380,132,0,0,0,0,0,1512,149,173,81,117,143,77,13,71,138,88,130,29,8,2,273
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Pionier,0599::SB63,3067 WL,1234,384,0,0,0,0,0,352,32,0,0,0,0,0,384,21,46,22,15,48,26,9,13,34,23,18,18,6,0,85
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB64,3067 AL,1237,680,3,3,0,0,0,627,59,0,0,0,0,0,686,55,85,39,33,56,46,27,60,67,28,40,10,5,1,128
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau LCC Romeynshof,0599::SB65,3068 JL,899,546,0,1,0,2,0,505,40,0,2,0,0,0,545,45,47,29,33,55,40,7,25,56,21,45,14,8,4,117
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Sporthal Kralingen,0599::SB66,3061 CR,2268,1105,5,8,0,4,0,994,120,0,4,0,0,0,1114,138,91,117,25,86,47,4,29,154,63,35,143,46,6,121
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Evenaar,0599::SB67,3067 DX,1586,710,2,3,0,1,0,654,62,0,0,1,0,0,716,78,61,34,30,64,46,8,48,68,31,46,14,2,1,179
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Arent,0599::SB68,3061 KZ,2149,1195,0,15,0,2,0,1070,142,0,0,2,0,0,1212,217,48,172,33,96,33,6,37,192,78,31,83,57,2,110
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Kleine Prins,0599::SB69,3067 XC,1235,778,2,4,0,1,0,715,70,0,0,1,0,0,785,106,47,80,40,54,30,11,34,90,58,38,18,5,1,166
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool De Kleine Wereld,0599::SB72,3061 EW,706,345,0,1,0,0,1,319,26,0,0,0,0,0,346,77,7,69,15,26,8,1,9,44,21,7,27,16,0,18
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Laurens Blijdorp,0599::SB73,3039 KS,1943,1016,5,2,0,5,0,932,86,0,5,0,0,0,1018,138,43,202,60,83,41,9,39,194,89,35,14,1,5,63
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau BS Delfshaven,0599::SB75,3024 CS,2211,658,7,5,0,0,0,624,46,0,0,0,0,0,670,62,20,101,24,70,38,1,16,134,53,14,49,6,9,61
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dijckhove,0599::SB76,3015 AA,1010,641,1,1,0,1,2,598,44,0,0,1,0,0,644,155,12,114,30,67,25,1,19,109,32,5,4,2,1,65
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau t Hofje van Gerrit de Koker,0599::SB77,3061 ES,2502,914,4,4,0,5,0,841,86,0,0,5,0,0,927,179,45,131,58,85,32,10,37,106,55,30,38,22,2,84
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Bethelkerk,0599::SB78,3043 TN,650,545,1,2,0,0,0,485,63,0,0,0,0,0,548,36,81,46,33,36,29,5,26,45,29,22,8,5,2,142
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool  Müllerpier,0599::SB79,3024 EN,1026,721,3,2,0,0,0,651,75,0,0,0,0,0,726,126,26,121,24,85,23,2,15,137,42,26,5,1,2,86
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Hillegondakerk,0599::SB80,3054 NB,2187,1339,1,2,0,2,0,1175,170,1,0,3,0,0,1345,443,50,225,74,78,24,6,37,141,69,15,3,0,6,168
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Vrijeschool Vredehof,0599::SB81,3062 EP,1578,1053,0,6,0,0,0,943,116,0,0,0,0,0,1059,374,12,215,62,63,12,7,14,144,69,10,1,2,3,65
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Park16Hoven,0599::SB82,3045 BJ,1637,1030,2,3,0,0,0,859,177,1,0,1,0,1,1036,256,14,209,55,76,17,5,38,130,40,29,19,5,0,137
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Rijnmond Multicultureel Centrum,0599::SB84,3025 EJ,1271,667,2,9,1,0,0,551,126,0,1,0,0,0,677,22,33,28,13,69,34,3,25,90,23,13,229,58,2,25
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Parochiehuis Sint Lambertuskerk,0599::SB85,3062 VJ,1602,1324,2,0,0,1,1,1228,96,0,1,0,0,0,1325,406,29,268,52,80,19,7,42,177,70,23,4,4,0,143
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Speeltuin Botu,0599::SB86,3025 NV,632,312,2,1,0,0,0,272,43,0,0,0,0,0,315,21,15,16,7,33,15,3,11,30,12,10,102,7,2,28
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wooncentrum Helga,0599::SB87,3067 VM,2394,1061,7,6,0,0,1,996,77,0,0,0,0,0,1074,151,86,85,77,88,45,23,71,91,41,72,22,4,6,199
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkgebouw Rendierhof,0599::SB88,3064 AX,1247,635,4,1,0,1,0,561,78,0,1,0,0,0,639,64,72,34,16,51,38,17,30,53,32,48,7,1,3,169
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Oranjekerk,0599::SB89,3051 LS,1500,990,0,1,0,0,0,899,92,0,0,0,0,0,991,126,50,146,32,97,56,11,62,166,67,33,2,1,1,140
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Tarcisius,0599::SB90,3051 HE,813,666,1,2,0,0,0,599,70,0,0,0,0,0,669,148,16,127,30,55,19,0,8,139,42,10,1,1,1,69
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB94,3067 MN,1459,648,0,1,0,0,0,578,71,0,0,0,0,0,649,78,61,34,26,76,41,7,31,59,15,38,13,6,1,162
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB95,3068 GN,1862,634,1,1,0,2,0,569,69,0,0,2,0,0,638,71,64,30,29,80,37,1,11,65,27,35,26,2,0,156
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Huis van de Wijk Pier 80,0599::SB96,3026 TV,1545,879,1,18,0,0,0,765,136,3,0,3,0,0,901,32,36,43,7,62,44,3,33,118,58,6,336,60,3,38
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB97,3026 XG,1526,345,3,3,0,0,0,313,38,0,0,0,0,0,351,12,18,25,7,32,21,7,29,57,27,8,54,13,1,34
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Lommerrijk,0599::SB98,3054 AB,190,431,0,1,0,0,3,384,45,0,0,0,0,0,432,143,17,55,20,29,10,2,14,41,23,9,2,0,0,66
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Nieuw Zernike,0599::SB100,3068 JB,1549,775,0,1,0,3,0,720,59,0,0,3,0,0,779,71,93,36,42,72,60,6,22,65,33,85,10,0,2,178
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Pompgebouw De Esch,0599::SB102,3063 HC,429,837,0,3,0,2,0,770,72,0,0,2,0,0,842,101,55,96,26,89,42,3,27,127,54,52,28,12,5,120
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Buurt- en Speeltuinvereniging Terbregge,0599::SB104,3056 LR,1255,669,2,0,0,1,0,593,79,0,0,1,0,0,672,154,60,65,37,40,20,8,29,63,33,21,18,2,4,115
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Recreatiecentrum Zevenkampse Ring,0599::SB105,3068 HG,1323,638,2,1,0,3,1,576,67,0,0,3,0,0,644,46,59,34,26,77,60,1,20,57,25,32,21,4,3,173
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Basisschool Maria,0599::SB106,3027 CN,1695,690,1,4,0,2,0,589,108,0,0,2,0,0,697,21,22,48,13,47,23,4,40,99,33,11,249,47,1,32
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Gymnastieklokaal,0599::SB107,3053 VH,2295,1002,1,5,0,0,1,899,108,0,0,0,0,0,1008,119,80,132,40,76,51,10,45,158,58,45,36,5,5,142
Rotterdam,Rotterdam,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Buurvrouw (v.h. LCC Castagnet),0599::SB108,3053 LG,56,859,1,2,0,1,0,768,92,0,0,1,0,0,860,134,31,155,47,73,26,4,29,168,60,25,8,0,7,92
